name,img,url
白菜类药害,http://www.114nz.com/all_images/tuku/201004/201004121514536826_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/3327.html
大白菜黑胫病,http://www.114nz.com/all_images/tuku/201003/201003261433515167_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/2583.html
大白菜根肿病,http://www.114nz.com/all_images/tuku/201003/201003261407505532_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/84.html
白菜炭疽病,http://www.114nz.com/all_images/tuku/201003/201003261511016223_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/75.html
大白菜萎蔫病,http://www.114nz.com/all_images/tuku/200812/200812251040435267_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/82.html
大白菜叶腐病,http://www.114nz.com/all_images/tuku/200812/200812251043256436_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/83.html
大白菜黑腐病,http://www.114nz.com/all_images/tuku/200812/200812251115161092_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/85.html
大白菜根肿病,http://www.114nz.com/all_images/tuku/201009/201009062009241912_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/3564.html
小白菜 菜薹花叶病,http://www.114nz.com/all_images/tuku/201004/201004121513283385_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/3326.html
大白菜细菌性叶斑病,http://www.114nz.com/all_images/tuku/201004/201004121511141771_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/3325.html
白菜类炭疽病,http://www.114nz.com/all_images/tuku/201004/201004121509457747_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/3324.html
大白菜环斑病,http://www.114nz.com/all_images/tuku/201004/201004121508178543_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/3323.html
白菜白粉病,http://www.114nz.com/all_images/tuku/200812/200812250950116398_y.jpg,http://pic.114nz.com/image/shucaibinghai/baicaiganlanlei/dabaicai/2011/1218/77.html
