name,img,url
扁豆角斑病,http://www.114nz.com/all_images/tuku/201003/201003291643105035_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2698.html
扁豆斑点病,http://www.114nz.com/all_images/tuku/201003/201003291534401322_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2686.html
扁豆假尾孢褐斑病,http://www.114nz.com/all_images/tuku/201004/201004121339162058_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/3291.html
扁豆细菌性疫病,http://www.114nz.com/all_images/tuku/201003/201003291654274236_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2703.html
扁豆软腐病,http://www.114nz.com/all_images/tuku/201003/201003291652519190_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2702.html
扁豆花腐病,http://www.114nz.com/all_images/tuku/201003/201003291637461203_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2695.html
扁豆红斑病,http://www.114nz.com/all_images/tuku/200812/200812271105501212_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/114.html
扁豆轮纹斑病,http://www.114nz.com/all_images/tuku/201003/201003291651361334_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2701.html
扁豆白绢病,http://www.114nz.com/all_images/tuku/200902/200902280907001610_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/1081.html
扁豆褐斑病,http://www.114nz.com/all_images/tuku/200812/200812271107155100_y.JPG,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/115.html
扁豆淡褐斑病,http://www.114nz.com/all_images/tuku/201003/201003291607425309_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2690.html
扁豆茎枯病,http://www.114nz.com/all_images/tuku/201003/201003291645402976_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2699.html
扁豆黑斑病,http://www.114nz.com/all_images/tuku/201003/201003291629167018_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/2692.html
扁豆花叶病毒病,http://www.114nz.com/all_images/tuku/201003/201003291639054558_y.jpg,http://pic.114nz.com/image/shucaibinghai/doulei/biandou/2011/1218/1080.html
