name,img,url
菠菜茎枯病,http://www.114nz.com/all_images/tuku/201003/201003311501036769_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/2799.html
菠菜心腐病,http://www.114nz.com/all_images/tuku/201003/201003311505231376_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/2800.html
菠菜低温障碍,http://www.114nz.com/all_images/tuku/201003/201003311453289558_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/2797.html
菠菜灰霉病,http://www.114nz.com/all_images/tuku/201003/201003311459549286_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/2798.html
菠菜炭疽病,http://www.114nz.com/all_images/tuku/201003/201003311504171061_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/276.html
菠菜斑点病,http://www.114nz.com/all_images/tuku/201003/201003311441283050_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/277.html
菠菜猝倒病,http://www.114nz.com/all_images/tuku/201003/201003311448211587_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/2796.html
菠菜病毒病,http://www.114nz.com/all_images/tuku/201003/201003311441399094_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/278.html
菠菜霜霉病,http://www.114nz.com/all_images/tuku/201003/201003311504047712_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/275.html
菠菜叶斑病,http://www.114nz.com/all_images/tuku/201003/201003311506281004_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/bocai/2011/1218/2801.html
