name,img,url
龙葵轮纹病,http://www.114nz.com/all_images/tuku/201003/201003241534514933_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2482.html
荠菜病毒病,http://www.114nz.com/all_images/tuku/201003/201003241604549670_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2491.html
菟丝子为害藜,http://www.114nz.com/all_images/tuku/201003/201003241617533604_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2496.html
石棉红斑病,http://www.114nz.com/all_images/tuku/201003/201003241609503745_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2493.html
仙人掌炭疽病,http://www.114nz.com/all_images/tuku/201003/201003241623261995_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2498.html
穿心莲枯萎病,http://www.114nz.com/all_images/tuku/201003/201003241641159433_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2508.html
烟草黑胫病,http://www.114nz.com/all_images/tuku/201003/201003241628584586_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2504.html
苋白锈病,http://www.114nz.com/all_images/tuku/201003/201003241625363252_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2500.html
檀香煤病,http://www.114nz.com/all_images/tuku/201003/201003241613095285_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2494.html
油松针锈病,http://www.114nz.com/all_images/tuku/201003/201003241631077034_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2505.html
蕹菜猝倒病,http://www.114nz.com/all_images/tuku/201003/201003241621243680_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2497.html
紫苏锈病,http://www.114nz.com/all_images/tuku/201003/201003241638234587_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/caoleiyaocaijiyeyongyaocai/2011/1218/2507.html
