name,img,url
草莓V型褐斑病,http://www.114nz.com/all_images/tuku/201003/201003311515215426_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/703.html
草莓冻害,http://www.114nz.com/all_images/tuku/201003/201003241415209012_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2446.html
草莓日灼,http://www.114nz.com/all_images/tuku/201003/201003241429145345_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2455.html
草莓根结线虫,http://www.114nz.com/all_images/tuku/201003/201003241418291014_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2448.html
草莓缺氮症,http://www.114nz.com/all_images/tuku/200901/200901081639241082_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/718.html
草莓灰斑病,http://www.114nz.com/all_images/tuku/200901/200901081600546375_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/704.html
草莓根霉软腐病,http://www.114nz.com/all_images/tuku/200901/200901081618246354_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/711.html
草莓叶枯病,http://www.114nz.com/all_images/tuku/201003/201003311626061628_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2819.html
草莓病毒病,http://www.114nz.com/all_images/tuku/201003/201003241403586256_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/715.html
草莓细菌性叶斑病,http://www.114nz.com/all_images/tuku/201003/201003311528348182_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/713.html
草莓褐斑病,http://www.114nz.com/all_images/tuku/201003/201003311617244428_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2817.html
草莓枯萎病,http://www.114nz.com/all_images/tuku/201003/201003241405548635_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/707.html
草莓根腐病,http://www.114nz.com/all_images/tuku/201003/201003311524114034_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/712.html
草莓缺钙,http://www.114nz.com/all_images/tuku/201003/201003241426364540_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2454.html
草莓青枯病,http://www.114nz.com/all_images/tuku/201003/201003311527101048_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/714.html
草莓终极腐霉烂果病,http://www.114nz.com/all_images/tuku/201003/201003241409378699_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/708.html
草莓革腐病,http://www.114nz.com/all_images/tuku/201003/201003241423274249_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2452.html
草莓缺磷症,http://www.114nz.com/all_images/tuku/200901/200901081640599090_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/719.html
草莓细菌性角斑病,http://www.114nz.com/all_images/tuku/201003/201003241433121899_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2459.html
草莓丝核菌芽枯病,http://www.114nz.com/all_images/tuku/201003/201003241408176010_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/706.html
草莓疫霉果腐病,http://www.114nz.com/all_images/tuku/201003/201003241409252073_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/709.html
草莓白粉病,http://www.114nz.com/all_images/tuku/201003/201003311523359715_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/710.html
草莓牙线虫病,http://www.114nz.com/all_images/tuku/200901/200901081636362734_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/716.html
草莓缺铁症,http://www.114nz.com/all_images/tuku/200901/200901081642041678_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/720.html
草莓畸形果,http://www.114nz.com/all_images/tuku/201003/201003311526073206_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/721.html
草莓灰霉病,http://www.114nz.com/all_images/tuku/201003/201003241405186817_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/705.html
草莓黄萎病,http://www.114nz.com/all_images/tuku/201003/201003241420476752_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2451.html
草莓炭疽病,http://www.114nz.com/all_images/tuku/201003/201003241431287469_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2457.html
草莓芽线虫病,http://www.114nz.com/all_images/tuku/201003/201003241435034619_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2461.html
草莓芽枯病,http://www.114nz.com/all_images/tuku/201003/201003311621291475_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/2818.html
草莓黏菌病,http://www.114nz.com/all_images/tuku/201003/201003241406098795_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/717.html
草莓褐色轮斑病,http://www.114nz.com/all_images/tuku/200901/200901081558394748_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/702.html
草莓蛇眼病,http://www.114nz.com/all_images/tuku/201003/201003241408006575_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/caozuo/2011/1218/701.html
