name,img,url
茶炭疽病,http://www.114nz.com/all_images/tuku/201004/201004101409428005_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/3233.html
茶饼病,http://www.114nz.com/all_images/tuku/200911/200911271453484591_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2138.html
茶树芽枯病,http://www.114nz.com/all_images/tuku/200911/200911131435365336_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2004.html
茶芽枯病,http://www.114nz.com/all_images/tuku/201004/201004101402037211_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/3230.html
茶胴枯病,http://www.114nz.com/all_images/tuku/200911/200911271523395798_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2143.html
茶树地衣和苔藓,http://www.114nz.com/all_images/tuku/200911/200911271545391224_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2146.html
茶树膏药病,http://www.114nz.com/all_images/tuku/200911/200911271544153280_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2145.html
茶树根癌病,http://www.114nz.com/all_images/tuku/200911/200911271517312996_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2142.html
茶网饼病,http://www.114nz.com/all_images/tuku/200911/200911271507151326_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2140.html
茶树炭疽病,http://www.114nz.com/all_images/tuku/200911/200911271445266858_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2136.html
茶苗白绢病,http://www.114nz.com/all_images/tuku/200911/200911271612366061_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2151.html
茶紫纹羽病,http://www.114nz.com/all_images/tuku/201004/201004101429322828_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/3239.html
茶褐色叶斑病,http://www.114nz.com/all_images/tuku/201004/201004101414437587_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/3234.html
茶枝黑痣病,http://www.114nz.com/all_images/tuku/200911/200911271532513246_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2144.html
茶树缺素症,http://www.114nz.com/all_images/tuku/200911/200911271602321223_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2149.html
茶云纹叶枯病,http://www.114nz.com/all_images/tuku/200911/200911271459191827_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2139.html
茶煤病,http://www.114nz.com/all_images/tuku/200911/200911271515461808_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2141.html
茶圆赤星病,http://www.114nz.com/all_images/tuku/200911/200911271610227172_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2150.html
茶苗根结线虫病,http://www.114nz.com/all_images/tuku/200911/200911271625535069_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2153.html
茶赤叶斑病,http://www.114nz.com/all_images/tuku/200911/200911271447051240_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2137.html
茶白星病,http://www.114nz.com/all_images/tuku/200911/200911271547217370_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2147.html
茶树冻害,http://www.114nz.com/all_images/tuku/200911/200911271627273677_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2154.html
茶红根腐病,http://www.114nz.com/all_images/tuku/200911/200911271549044320_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2148.html
茶轮斑病,http://www.114nz.com/all_images/tuku/200911/200911271441339757_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2135.html
茶藻斑病,http://www.114nz.com/all_images/tuku/200911/200911271629094557_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yinliaozuowu/chaye/2011/1218/2155.html
