name,img,url
葱黑斑病,http://www.114nz.com/all_images/tuku/201004/201004011334525710_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2831.html
葱小菌核病,http://www.114nz.com/all_images/tuku/201004/201004011345446060_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2836.html
葱灰霉病,http://www.114nz.com/all_images/tuku/201004/201004011336139181_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2832.html
葱疫病,http://www.114nz.com/all_images/tuku/201004/201004011351102816_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2839.html
葱锈病,http://www.114nz.com/all_images/tuku/201004/201004011347487656_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2837.html
葱紫斑病,http://www.114nz.com/all_images/tuku/201004/201004011354363967_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2841.html
葱霜霉病,http://www.114nz.com/all_images/tuku/201004/201004011343487984_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2835.html
葱白色疫病,http://www.114nz.com/all_images/tuku/201004/201004011329479652_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2828.html
葱白腐病,http://www.114nz.com/all_images/tuku/201004/201004011328339224_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2827.html
葱叶枯病,http://www.114nz.com/all_images/tuku/201004/201004011349163788_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2838.html
葱软腐病,http://www.114nz.com/all_images/tuku/201004/201004011342113251_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2834.html
葱褐斑病,http://www.114nz.com/all_images/tuku/201004/201004011332394058_y.jpg,http://pic.114nz.com/image/shucaibinghai/congsuanlei/cong/2011/1218/2829.html
