name,img,url
猝倒病和立枯病,http://www.cgris.net/disease/10－油料/images/0897%20大豆猝倒病（左）和立枯病.jpg,http://www.cgris.net/disease/10－油料/0897%20大豆猝倒病和立枯病.htm
锈病,http://www.cgris.net/disease/10－油料/images/0909%20大豆锈病（左）和枯萎病.jpg,http://www.cgris.net/disease/10－油料/0909(左)%20大豆锈病.htm
菌核病,http://www.cgris.net/disease/10－油料/images/0906%20大豆菌核病发病初期症状.jpg,http://www.cgris.net/disease/10－油料/0906-0907%20大豆菌核病.htm
羞萎病,http://www.cgris.net/disease/10－油料/images/0915%20大豆羞萎病（左）、茎黑点病（中）和纹枯病.jpg,http://www.cgris.net/disease/10－油料/0915(左)%20大豆羞萎病.htm
黑痘病,http://www.cgris.net/disease/10－油料/images/0898%20大豆茎枯病（左）和黑痘病.jpg,http://www.cgris.net/disease/10－油料/0898%20大豆黑痘病.htm
赤霉病,http://www.cgris.net/disease/10－油料/images/0910%20大豆赤霉病.jpg,http://www.cgris.net/disease/10－油料/0910%20大豆赤霉病.htm
菟丝子为害大豆,http://www.cgris.net/disease/10－油料/images/0924%20大豆根结线虫病（左）和菟丝子为害大豆.jpg,http://www.cgris.net/disease/10－油料/0924(右)%20大豆菟丝子为害大豆.htm
药用植物大豆菌核病,http://www.cgris.net/disease/10－油料/images/0906%20大豆菌核病发病初期症状.jpg,http://www.cgris.net/disease/10－油料/0906—0907%20药用植物大豆菌核病.htm
茎枯病,http://www.cgris.net/disease/10－油料/images/0898%20大豆茎枯病（左）和黑痘病.jpg,http://www.cgris.net/disease/10－油料/0898(左)%20大豆茎枯病.htm
紫斑病,http://www.cgris.net/disease/10－油料/images/0911%20大豆紫斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0911%20大豆紫斑病.htm
细菌性斑点病,http://www.cgris.net/disease/10－油料/images/0916%20大豆细菌性斑点病病叶.jpg,http://www.cgris.net/disease/10－油料/0916%20大豆细菌性斑点病.htm
耙点病,http://www.cgris.net/disease/10－油料/images/0908%20大豆荚枯病（左）和耙点病.jpg,http://www.cgris.net/disease/10－油料/0908(右)%20大豆耙点病.htm
灰斑病,http://www.cgris.net/disease/10－油料/images/0901%20大豆灰斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0901%20大豆灰斑病.htm
叶斑病,http://www.cgris.net/disease/10－油料/images/0912%20大豆叶斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0912%20大豆叶斑病.htm
细菌斑疹病,http://www.cgris.net/disease/10－油料/images/0917%20大豆细菌性斑疹病病叶.jpg,http://www.cgris.net/disease/10－油料/0917%20大豆细菌斑疹病.htm
荚枯病,http://www.cgris.net/disease/10－油料/images/0908%20大豆荚枯病（左）和耙点病.jpg,http://www.cgris.net/disease/10－油料/0908(左)%20大豆荚枯病.htm
褐斑病,http://www.cgris.net/disease/10－油料/images/0902%20大豆褐斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0902%20大豆褐斑病.htm
镰刀菌根腐病,http://www.cgris.net/disease/10－油料/images/0913%20大豆镰刀菌根腐病.jpg,http://www.cgris.net/disease/10－油料/0913%20大豆镰刀菌根腐病.htm
花叶病,http://www.cgris.net/disease/10－油料/images/0918%20大豆花叶病毒病.jpg,http://www.cgris.net/disease/10－油料/0918%20大豆花叶病.htm
枯萎病,http://www.cgris.net/disease/10－油料/images/0909%20大豆锈病（左）和枯萎病.jpg,http://www.cgris.net/disease/10－油料/0909(右)%20大豆枯萎病.htm
霜霉病,http://www.cgris.net/disease/10－油料/images/0903%20大豆霜霉病叶两面症状.jpg,http://www.cgris.net/disease/10－油料/0903-0904%20大豆霜霉病.htm
疫霉根腐病,http://www.cgris.net/disease/10－油料/images/0914%20大豆疫霉根腐病病株.jpg,http://www.cgris.net/disease/10－油料/0914%20大豆疫霉根腐病.htm
顶枯病,http://www.cgris.net/disease/10－油料/images/0919%20大豆顶枯病病株.jpg,http://www.cgris.net/disease/10－油料/0919%20大豆顶枯病.htm
药害,http://www.cgris.net/disease/10－油料/images/0928%20大豆除草剂药害.jpg,http://www.cgris.net/disease/10－油料/0928%20大豆药害.htm
链格孢黑斑病,http://www.cgris.net/disease/10－油料/images/0905%20大豆轮纹病（左）和黑斑病.jpg,http://www.cgris.net/disease/10－油料/0905(右)%20大豆链格孢黑斑病.htm
纹枯病,http://www.cgris.net/disease/10－油料/images/0915%20大豆羞萎病（左）、茎黑点病（中）和纹枯病.jpg,http://www.cgris.net/disease/10－油料/0915(右)%20大豆纹枯病.htm
胞囊线虫病,http://www.cgris.net/disease/10－油料/images/0920%20大豆胞囊虫病田间为害状.jpg,http://www.cgris.net/disease/10－油料/0920、0923%20大豆胞囊线虫病.htm
缺素症,http://www.cgris.net/disease/10－油料/images/0925%20大豆缺氮（左）缺磷（中）缺钾.jpg,http://www.cgris.net/disease/10－油料/0925-0927%20大豆缺素症.htm
轮纹病,http://www.cgris.net/disease/10－油料/images/0905%20大豆轮纹病（左）和黑斑病.jpg,http://www.cgris.net/disease/10－油料/0905(左)%20大豆轮纹病.htm
茎黑点病,http://www.cgris.net/disease/10－油料/images/0915%20大豆羞萎病（左）、茎黑点病（中）和纹枯病.jpg,http://www.cgris.net/disease/10－油料/0915(中)%20大豆茎黑点病.htm
根结线虫病,http://www.cgris.net/disease/10－油料/images/0924%20大豆根结线虫病（左）和菟丝子为害大豆.jpg,http://www.cgris.net/disease/10－油料/0924%20大豆根结线虫病.htm
点蜂缘蝽 ,http://www.cgris.net/disease/10－油料/images/1279%20豆类-条蜂缘成虫.jpg,http://www.cgris.net/disease/10－油料/1279(右)%20豆类点蜂缘蝽.htm
药用植物害虫短额负蝗,http://www.cgris.net/disease/10－油料/images/1311%20向日葵-短额负蝗成虫.jpg,http://www.cgris.net/disease/10－油料/1311%20药用植物害虫短额负蝗.htm
豆突眼长蝽,http://www.cgris.net/disease/10－油料/images/1272%20豆类-大豆蚜（左上）豆突眼长蝽（左下）及筛豆龟蝽.jpg,http://www.cgris.net/disease/10－油料/1272(左下)%20豆类豆突眼长蝽.htm
斑背安缘蝽,http://www.cgris.net/disease/10－油料/images/1287%20豆类-斑背安缘椿成虫.jpg,http://www.cgris.net/disease/10－油料/1287%20豆类斑背安缘蝽.htm
条蜂缘蝽,http://www.cgris.net/disease/10－油料/images/1279%20豆类-条蜂缘成虫.jpg,http://www.cgris.net/disease/10－油料/1279(左)%20豆类条蜂缘蝽.htm
豆灰蝶,http://www.cgris.net/disease/10－油料/images/1280%20豆类-豆灰蝶成虫反面放大.jpg,http://www.cgris.net/disease/10－油料/1280%20豆类豆灰蝶.htm
焰夜蛾,http://www.cgris.net/disease/10－油料/images/1273%20豆类-肾坑翅夜蛾和夜蛾幼虫.jpg,http://www.cgris.net/disease/10－油料/1273(右)%20豆类焰夜蛾.htm
红背安缘蝽,http://www.cgris.net/disease/10－油料/images/1288%20豆类-红背安缘椿成虫.jpg,http://www.cgris.net/disease/10－油料/1288%20豆类红背安缘蝽.htm
