name,img,url
条锈病 ,http://www.cgris.net/disease/02－麦类/images/0089%20小麦条锈病发病初期叶片上症状.jpg,http://www.cgris.net/disease/02－麦类/0089-0090%20大麦条锈病.htm
叶锈病 ,http://www.cgris.net/disease/02－麦类/images/0170%20大麦叶锈病叶上的夏孢子堆.jpg,http://www.cgris.net/disease/02－麦类/0170%20大麦叶锈病.htm
网斑病 ,http://www.cgris.net/disease/02－麦类/images/0171%20大麦云纹病（左）和网斑病病叶.jpg,http://www.cgris.net/disease/02－麦类/0171(右)%20大麦网斑病.html
条纹病 ,http://www.cgris.net/disease/02－麦类/images/0174%20大麦条纹病病叶.jpg,http://www.cgris.net/disease/02－麦类/0174%20大麦条纹病.htm
云纹病 ,http://www.cgris.net/disease/02－麦类/images/0171%20大麦云纹病（左）和网斑病病叶.jpg,http://www.cgris.net/disease/02－麦类/0171(左)%20大麦云纹病.html
细菌条斑病 ,http://www.cgris.net/disease/02－麦类/images/0175%20大麦细菌性条斑病病叶.jpg,http://www.cgris.net/disease/02－麦类/0175%20大麦细菌条斑病.htm
缺素症 ,http://www.cgris.net/disease/02－麦类/images/0177%20大麦缺素症%20正常与缺氮的大麦.jpg,http://www.cgris.net/disease/02－麦类/0177-0181%20大麦缺素症.htm
白粉病 ,http://www.cgris.net/disease/02－麦类/images/0172%20大麦白粉病为害状.jpg,http://www.cgris.net/disease/02－麦类/0172%20大麦白粉病.htm
黄花叶病 ,http://www.cgris.net/disease/02－麦类/images/0176%20大麦黄花叶病症状.jpg,http://www.cgris.net/disease/02－麦类/0176%20大麦黄花叶病.htm
坚黑穗病 ,http://www.cgris.net/disease/02－麦类/images/0173%20大麦散黑穗（左）和坚黑穗病.jpg,http://www.cgris.net/disease/02－麦类/0173(右)%20大麦坚黑穗病.htm
散黑穗病 ,http://www.cgris.net/disease/02－麦类/images/0173%20大麦散黑穗（左）和坚黑穗病.jpg,http://www.cgris.net/disease/02－麦类/0173(左)%20大麦散黑穗病.htm
纹枯病 ,http://www.cgris.net/disease/02－麦类/images/0111%20小麦纹枯病叶鞘染病症状.jpg,http://www.cgris.net/disease/02－麦类/0111-0112%20大麦纹枯病.htm
麦秆蝇,http://www.cgris.net/disease/02－麦类/images/0543%20小麦-麦秆蝇成虫放大.jpg,http://www.cgris.net/disease/02－麦类/0543%20麦秆蝇.htm
玉米蚜,http://www.cgris.net/disease/02－麦类/images/0542%20小麦-玉米蚜放大.jpg,http://www.cgris.net/disease/02－麦类/0542%20玉米蚜.htm
麦水蝇,http://www.cgris.net/disease/02－麦类/images/0498%20水稻菲岛毛眼水蝇成虫（左）和蛹.jpg,http://www.cgris.net/disease/02－麦类/0498%20麦水蝇.htm
黑麦秆蝇,http://www.cgris.net/disease/02－麦类/images/0544%20小麦-黑麦秆蝇成虫和幼虫放大.jpg,http://www.cgris.net/disease/02－麦类/0544%20黑麦秆蝇.htm
麦黑斑潜叶蝇,http://www.cgris.net/disease/02－麦类/images/0545%20小麦-麦黑斑潜叶蝇幼虫及为害小麦状.jpg,http://www.cgris.net/disease/02－麦类/0545%20麦黑斑潜叶蝇.htm
小麦管蓟马,http://www.cgris.net/disease/02－麦类/images/0537%20小麦管蓟马成虫腹面放大.jpg,http://www.cgris.net/disease/02－麦类/0537%20小麦管蓟马.htm
小麦吸浆虫,http://www.cgris.net/disease/02－麦类/images/0546%20小麦-麦红吸浆虫幼虫和成虫.jpg,http://www.cgris.net/disease/02－麦类/0546-0547%20小麦吸浆虫.htm
麦蜘蛛,http://www.cgris.net/disease/02－麦类/images/0548%20小麦-麦圆蜘蛛.jpg,http://www.cgris.net/disease/02－麦类/0548-0549%20麦蜘蛛.htm
麦二叉蚜,http://www.cgris.net/disease/02－麦类/images/0538%20小麦-麦二叉蚜.jpg,http://www.cgris.net/disease/02－麦类/0538%20麦二叉蚜.htm
粘虫,http://www.cgris.net/disease/02－麦类/images/0552%20小麦-棉铃虫幼虫（左）和粘虫幼虫为害小麦.jpg,http://www.cgris.net/disease/02－麦类/0552(右)%20粘虫.htm
小麦叶蝉,http://www.cgris.net/disease/02－麦类/images/0550%20小麦-麦叶蜂成虫和幼虫.jpg,http://www.cgris.net/disease/02－麦类/0550%20小麦叶蝉.htm
麦长管蚜,http://www.cgris.net/disease/02－麦类/images/0539%20小麦-麦长管蚜无翅孤雌蚜和若蚜.jpg,http://www.cgris.net/disease/02－麦类/0539%20麦长管蚜.htm
秀夜蛾,http://www.cgris.net/disease/02－麦类/images/0553%20小麦秀夜蛾成虫.jpg,http://www.cgris.net/disease/02－麦类/0553%20秀夜蛾.htm
麦茎蜂,http://www.cgris.net/disease/02－麦类/images/0551%20小麦-麦茎蜂幼虫放大.jpg,http://www.cgris.net/disease/02－麦类/0551%20麦茎蜂.htm
黍蚜,http://www.cgris.net/disease/02－麦类/images/0540%20小麦-黍蚜.jpg,http://www.cgris.net/disease/02－麦类/0540-0541(左)%20黍蚜.htm
麦凹胫跳甲,http://www.cgris.net/disease/02－麦类/images/0554%20小麦-麦凹胫跳甲幼虫及为害状.jpg,http://www.cgris.net/disease/02－麦类/0554%20麦凹胫跳甲.htm
麦田棉铃虫,http://www.cgris.net/disease/02－麦类/images/0552%20小麦-棉铃虫幼虫（左）和粘虫幼虫为害小麦.jpg,http://www.cgris.net/disease/02－麦类/0552(左)%20麦田棉铃虫.htm
麦双尾蚜,http://www.cgris.net/disease/02－麦类/images/0541%20小麦-黍蚜（左）和麦双尾蚜放大.jpg,http://www.cgris.net/disease/02－麦类/0541(右)%20麦双尾蚜.htm
甘薯肖叶甲指名亚种,http://www.cgris.net/disease/02－麦类/images/0555%20小麦-甘薯肖叶甲指名亚种（麦颈叶甲）成虫栖息在麦叶端.jpg,http://www.cgris.net/disease/02－麦类/0555%20甘薯肖叶甲指名亚种.htm
麦种蝇,http://www.cgris.net/disease/02－麦类/images/0691%20地下害虫-种蝇雌、雄成虫.jpg,http://www.cgris.net/disease/02－麦类/0691%20麦种蝇.htm
麦田斑须蝽,http://www.cgris.net/disease/02－麦类/images/0556%20小麦-西北麦蝽（左）和斑须蝽成虫.jpg,http://www.cgris.net/disease/02－麦类/0556(右)%20麦田斑须蝽.htm
麦根蝽象,http://www.cgris.net/disease/02－麦类/images/0559%20小麦根蝽象成虫.jpg,http://www.cgris.net/disease/02－麦类/0559%20麦根蝽象.htm
西北麦蝽,http://www.cgris.net/disease/02－麦类/images/0556%20小麦-西北麦蝽（左）和斑须蝽成虫.jpg,http://www.cgris.net/disease/02－麦类/0556(左)%20西北麦蝽.htm
十四点负泥甲,http://www.cgris.net/disease/02－麦类/images/0557%20小麦十四点负泥甲成虫.jpg,http://www.cgris.net/disease/02－麦类/0557%20十四点负泥甲.htm
