name,img,url
冬瓜褐斑病,http://www.114nz.com/all_images/tuku/201003/201003301322006210_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2722.html
冬瓜镰孢褐腐病,http://www.114nz.com/all_images/tuku/201004/201004151333492034_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/3496.html
冬瓜节瓜蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003241641071976_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2495.html
冬瓜日灼,http://www.114nz.com/all_images/tuku/200812/200812291038309457_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/200.html
冬瓜节瓜蔓枯病,http://www.114nz.com/all_images/tuku/201004/201004151333061737_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/3495.html
冬瓜节瓜化瓜,http://www.114nz.com/all_images/tuku/201004/201004151328005854_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/3492.html
冬瓜灰霉病,http://www.114nz.com/all_images/tuku/201004/201004151330457708_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/3494.html
冬瓜褐腐病,http://www.114nz.com/all_images/tuku/201003/201003301323588725_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2723.html
冬瓜病毒病,http://www.114nz.com/all_images/tuku/201004/201004151329047468_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/3493.html
冬瓜蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003301346468401_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2733.html
冬瓜叶枯病,http://www.114nz.com/all_images/tuku/201003/201003301425487352_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2751.html
冬瓜黑斑病,http://www.114nz.com/all_images/tuku/201003/201003301328325517_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2724.html
冬瓜日灼病,http://www.114nz.com/all_images/tuku/201003/201003301352164254_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2736.html
冬瓜病毒病,http://www.114nz.com/all_images/tuku/201003/201003301317378230_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2719.html
冬瓜白粉病,http://www.114nz.com/all_images/tuku/201003/201003301315175857_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2718.html
冬瓜软腐病,http://www.114nz.com/all_images/tuku/201003/201003301355135459_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2738.html
冬瓜菌核病,http://www.114nz.com/all_images/tuku/201003/201003301344086351_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2731.html
冬瓜灰斑病,http://www.114nz.com/all_images/tuku/201003/201003301336162619_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2728.html
冬瓜绵疫病,http://www.114nz.com/all_images/tuku/201003/201003301350111456_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2735.html
冬瓜（壳二孢）叶斑病,http://www.114nz.com/all_images/tuku/201003/201003301313043452_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2716.html
冬瓜炭疽病,http://www.114nz.com/all_images/tuku/200812/200812291036485690_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/199.html
冬瓜疫病,http://www.114nz.com/all_images/tuku/201003/201003301426074896_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/198.html
冬瓜霜霉病,http://www.114nz.com/all_images/tuku/201003/201003301408192544_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2743.html
冬瓜黑星病,http://www.114nz.com/all_images/tuku/201003/201003301331538142_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2727.html
冬瓜枯萎病,http://www.114nz.com/all_images/tuku/201003/201003301344232658_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/197.html
冬瓜叶点霉叶斑病,http://www.114nz.com/all_images/tuku/201003/201003301418269651_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/donggua/2011/1218/2749.html
