name,img,url
2.4一D药害,http://www.114nz.com/all_images/tuku/201004/201004141339281143_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3409.html
番茄褐斑病,http://www.114nz.com/all_images/tuku/201003/201003241549397263_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/2486.html
番茄白绢病,http://www.114nz.com/all_images/tuku/201003/201003251342538282_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/2512.html
番茄逗果,http://www.114nz.com/all_images/tuku/201004/201004141347124401_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3416.html
番茄心腐病,http://www.114nz.com/all_images/tuku/201004/201004141345462151_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3415.html
番茄病毒病,http://www.114nz.com/all_images/tuku/201003/201003241521548066_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/233.html
番茄红粉病,http://www.114nz.com/all_images/tuku/201004/201004061423302137_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3031.html
番茄冻害,http://www.114nz.com/all_images/tuku/201004/201004061405023043_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3023.html
番茄穿孔果,http://www.114nz.com/all_images/tuku/201004/201004061357069626_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3022.html
番茄叶斑病,http://www.114nz.com/all_images/tuku/201003/201003241559326599_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/2489.html
番茄根霉果腐病,http://www.114nz.com/all_images/tuku/201004/201004061414258132_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3026.html
番茄灰叶斑病,http://www.114nz.com/all_images/tuku/201004/201004061429482801_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3034.html
番茄落花落果,http://www.114nz.com/all_images/tuku/201004/201004141338439036_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3408.html
番茄酸腐病,http://www.114nz.com/all_images/tuku/201004/201004061457072804_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3047.html
番茄假单孢果腐病,http://www.114nz.com/all_images/tuku/201004/201004061425163816_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3032.html
番茄斑萎病毒病,http://www.114nz.com/all_images/tuku/201004/201004061348535145_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3019.html
棉铃虫危害番茄,http://www.114nz.com/all_images/tuku/201004/201004141348332511_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3417.html
番茄灰叶斑病,http://www.114nz.com/all_images/tuku/201004/201004141336574633_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3406.html
番茄果实着色不良,http://www.114nz.com/all_images/tuku/201004/201004141349195372_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3418.html
番茄木栓化硬皮果,http://www.114nz.com/all_images/tuku/201004/201004141345026209_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3414.html
番茄芝麻斑病,http://www.114nz.com/all_images/tuku/201003/201003241533156085_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/215.html
番茄白绢病,http://www.114nz.com/all_images/tuku/201004/201004141334426643_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3404.html
番茄茎基腐病,http://www.114nz.com/all_images/tuku/201004/201004141332529694_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/fanqie/2011/1218/3402.html
