name,img,url
柑橘根结线虫病,http://www.114nz.com/all_images/tuku/200901/200901071328553759_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/653.html
柑橘焦腐病,http://www.114nz.com/all_images/tuku/200901/200901071322335351_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/647.html
柑橘膏药病,http://www.114nz.com/all_images/tuku/200901/200901071324477929_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/649.html
柑橘芽枝霉叶斑病,http://www.114nz.com/all_images/tuku/200901/200901071309087699_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/639.html
柑橘炭疽病,http://www.114nz.com/all_images/tuku/201003/201003251558097753_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/635.html
柑橘黄龙病,http://www.114nz.com/uploadfile/2015/0902/thumb_98_0_20150902110944722.png,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/3567.html
柑橘赤衣病,http://www.114nz.com/all_images/tuku/200901/200901071328046479_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/652.html
柑橘黑腐病,http://www.114nz.com/all_images/tuku/200901/200901071313546779_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/642.html
柑橘黄龙病,http://www.114nz.com/all_images/tuku/200901/200901071340496730_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/657.html
柑橘缺锰症,http://www.114nz.com/all_images/tuku/200901/200901071352131861_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/664.html
柑橘疮痂病,http://www.114nz.com/all_images/tuku/200901/200901071329451680_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/654.html
温州蜜桔流胶病,http://www.114nz.com/all_images/tuku/200901/200901071345319338_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/660.html
柑橘疫霉病（裙腐病、脚腐病）,http://www.114nz.com/all_images/tuku/200901/200901071302198581_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/637.html
柑橘立枯病,http://www.114nz.com/all_images/tuku/200901/200901071223586043_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/633.html
柑橘裂皮病,http://www.114nz.com/all_images/tuku/200901/200901071327282046_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/651.html
柑橘棒孢霉褐斑病,http://www.114nz.com/all_images/tuku/200901/200901071311194001_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/640.html
柑橘紫纹羽病和白纹羽病,http://www.114nz.com/all_images/tuku/200901/200901071326304843_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/650.html
柑橘缺氮症,http://www.114nz.com/all_images/tuku/200901/200901071348131240_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/662.html
柑橘缺镁症,http://www.114nz.com/all_images/tuku/200901/200901071355042547_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/666.html
柑橘脂斑病,http://www.114nz.com/all_images/tuku/200901/200901080916321433_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/641.html
柑橘绿霉病,http://www.114nz.com/all_images/tuku/200901/200901071321264817_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/646.html
柑橘油斑病,http://www.114nz.com/all_images/tuku/200901/200901071319226500_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/644.html
柑橘溃疡病,http://www.114nz.com/all_images/tuku/200901/200901071330408742_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/655.html
柑橘生理性裂果,http://www.114nz.com/all_images/tuku/200901/200901071346422128_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/661.html
柑橘酸腐病,http://www.114nz.com/all_images/tuku/200901/200901071318206412_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/643.html
地衣和苔藓为害柑橘,http://www.114nz.com/all_images/tuku/200901/200901071343356431_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/659.html
柑橘煤污病,http://www.114nz.com/all_images/tuku/200901/200901071341498660_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/658.html
柑橘类低温寒害和冻害,http://www.114nz.com/all_images/tuku/200901/200901071357358097_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/667.html
柑橘缺锌症,http://www.114nz.com/all_images/tuku/200901/200901071350115050_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/663.html
柑橘黑星病,http://www.114nz.com/all_images/tuku/200901/200901071256353842_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/636.html
柑橘树脂病,http://www.114nz.com/all_images/tuku/201003/201003251557498677_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/648.html
柑橘类药害,http://www.114nz.com/all_images/tuku/200901/200901071358495724_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/668.html
柑橘缺铁症,http://www.114nz.com/all_images/tuku/200901/200901071353178540_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/665.html
柑橘青霉病,http://www.114nz.com/all_images/tuku/201003/201003251552525223_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/645.html
柑橘白粉病,http://www.114nz.com/all_images/tuku/200901/200901071305269473_y.jpg,http://pic.114nz.com/image/guoshubinghai/ganjielei/ganzuo/2011/1218/638.html
