name,img,url
甘薯褐斑病,http://www.114nz.com/all_images/tuku/201004/201004031332105147_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/2951.html
甘薯软腐病,http://www.114nz.com/all_images/tuku/200910/200910281329338323_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1789.html
甘薯蔓枯病,http://www.114nz.com/all_images/tuku/201004/201004031337257289_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/2953.html
甘薯缺索症,http://www.114nz.com/all_images/tuku/200910/200910271655051422_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1780.html
甘薯瘟病,http://www.114nz.com/all_images/tuku/201004/201004031340126088_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/2954.html
甘薯黑斑病,http://www.114nz.com/all_images/tuku/201004/201004031254537563_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/2869.html
甘薯黑根病,http://www.114nz.com/all_images/tuku/201004/201004031334559136_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/2952.html
甘薯病毒病,http://www.114nz.com/all_images/tuku/201004/201004031253107013_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1787.html
甘薯叶斑病,http://www.114nz.com/all_images/tuku/201004/201004031300324776_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/314.html
甘薯冻害,http://www.114nz.com/all_images/tuku/200910/200910271655284350_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1781.html
甘薯枯萎病,http://www.114nz.com/all_images/tuku/200910/200910281311509045_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1784.html
甘薯黑痣病,http://www.114nz.com/all_images/tuku/201004/201004031255357457_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1788.html
甘薯根腐病,http://www.114nz.com/all_images/tuku/200910/200910281308188810_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1782.html
甘薯时斑病,http://www.114nz.com/all_images/tuku/200910/200910281310224156_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1783.html
甘薯紫纹羽病,http://www.114nz.com/all_images/tuku/200910/200910271654411616_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1779.html
甘薯疮痂病,http://www.114nz.com/all_images/tuku/200910/200910281313204273_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1785.html
甘薯黑疤病,http://www.114nz.com/all_images/tuku/200910/200910281322296940_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/ganshu/2011/1218/1786.html
