name,img,url
甘蔗黑穗病,http://www.114nz.com/all_images/tuku/200910/200910241405321563_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1715.html
甘蔗白叶病,http://www.114nz.com/all_images/tuku/200910/200910241403457894_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1712.html
甘蔗叶萎病,http://www.114nz.com/all_images/tuku/200910/200910241410292198_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1723.html
甘蔗黄斑病,http://www.114nz.com/all_images/tuku/200910/200910241406411088_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1717.html
甘蔗轮斑病,http://www.114nz.com/all_images/tuku/201004/201004101100187228_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/3208.html
甘蔗花叶病,http://www.114nz.com/all_images/tuku/200910/200910241406104846_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1716.html
甘蔗叶灼病,http://www.114nz.com/all_images/tuku/200910/200910241410558212_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1724.html
甘蔗霜霉病,http://www.114nz.com/all_images/tuku/200910/200910241408018186_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1720.html
甘蔗梢腐病,http://www.114nz.com/all_images/tuku/200910/200910241407365638_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1719.html
甘蔗缺素病,http://www.114nz.com/all_images/tuku/200910/200910241407071007_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1718.html
甘蔗赤腐病,http://www.114nz.com/all_images/tuku/200910/200910241404255929_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1713.html
甘蔗凤梨病,http://www.114nz.com/all_images/tuku/200910/200910241405023834_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1714.html
甘蔗眼斑病,http://www.114nz.com/all_images/tuku/200910/200910241408588807_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/ganzhe/2011/1218/1722.html
