name,img,url
北沙参黄化病,http://www.114nz.com/all_images/tuku/201001/201001031517356315_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2250.html
川芎根腐病,http://www.114nz.com/all_images/tuku/201001/201001111402498232_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2272.html
地黄轮纹病,http://www.114nz.com/all_images/tuku/201001/201001111450483032_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2279.html
芦笋灰霉病,http://www.114nz.com/all_images/tuku/201001/201001031434386564_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2245.html
芦笋茎枯病,http://www.114nz.com/all_images/tuku/201001/201001031414035156_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2241.html
三七(田七)炭疽病,http://www.114nz.com/all_images/tuku/201001/201001031424042216_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2243.html
甘草褐斑病,http://www.114nz.com/all_images/tuku/201001/201001031428264725_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2244.html
芭蕉炭疽病,http://www.114nz.com/all_images/tuku/201001/201001121424444654_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2284.html
茜草根腐病,http://www.114nz.com/all_images/tuku/201001/201001121449392421_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2290.html
山药斑枯病,http://www.114nz.com/all_images/tuku/201001/201001111341256958_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2267.html
三七根结线虫病,http://www.114nz.com/all_images/tuku/200912/200912311454516528_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2236.html
萱草炭疽病,http://www.114nz.com/all_images/tuku/201001/201001151533057460_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2305.html
臭椿白粉病,http://www.114nz.com/all_images/tuku/200912/200912311524418064_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2238.html
魔芋白绢病,http://www.114nz.com/all_images/tuku/201001/201001111507323509_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2282.html
芦笋茎腐病,http://www.114nz.com/all_images/tuku/201001/201001031515054358_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2249.html
黄连列当,http://www.114nz.com/all_images/tuku/201001/201001121427423559_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2285.html
山药薯蓣色链隔孢褐斑病,http://www.114nz.com/all_images/tuku/201001/201001111456424592_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2280.html
石榴干腐病,http://www.114nz.com/all_images/tuku/201001/201001151600004404_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2311.html
小檗白粉病,http://www.114nz.com/all_images/tuku/201001/201001131614146841_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2295.html
杨梅癌肿病,http://www.114nz.com/all_images/tuku/201001/201001121515086027_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2291.html
菰瘟病,http://www.114nz.com/all_images/tuku/201001/201001111500258437_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2281.html
杜鹃饼病,http://www.114nz.com/all_images/tuku/201001/201001131604099257_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2293.html
北沙参黑斑病,http://www.114nz.com/all_images/tuku/201001/201001031420373737_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2242.html
玉竹镰刀菌根腐病,http://www.114nz.com/all_images/tuku/200912/200912311431383047_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2232.html
姜眼斑病,http://www.114nz.com/all_images/tuku/201001/201001121446554688_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/genjigenjingleiyaocai/2011/1218/2289.html
