name,img,url
玫瑰、月季白粉病,http://www.114nz.com/all_images/tuku/201003/201003191340567084_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2408.html
金银花(忍冬）白粉病,http://www.114nz.com/all_images/tuku/201003/201003191346034605_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2409.html
药用菊花菌核病,http://www.114nz.com/all_images/tuku/201003/201003241350164833_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2439.html
向日葵列当,http://www.114nz.com/all_images/tuku/201003/201003191351114843_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2410.html
白扁豆锈病,http://www.114nz.com/all_images/tuku/201003/201003291654436625_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2428.html
红花锈病,http://www.114nz.com/all_images/tuku/201003/201003191311538874_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2403.html
菊花花叶病毒病,http://www.114nz.com/all_images/tuku/201003/201003241330354485_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2433.html
玫瑰、月季病毒病,http://www.114nz.com/all_images/tuku/201003/201003191409293104_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2412.html
菊花锈病,http://www.114nz.com/all_images/tuku/201003/201003241340256500_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2435.html
曼陀罗黄萎病,http://www.114nz.com/all_images/tuku/201003/201003241348432838_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2438.html
扁豆炭疽病,http://www.114nz.com/all_images/tuku/201003/201003291653071907_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2427.html
鸡冠花(青葙子)叶斑病,http://www.114nz.com/all_images/tuku/201003/201003191517087411_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2419.html
药菊花斑枯病,http://www.114nz.com/all_images/tuku/201003/201003221451163358_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/yaoyongzuowu/hualeiyaocai/2011/1218/2426.html
