name,img,url
无土栽培蔓枯病,http://www.114nz.com/all_images/tuku/201004/201004121545104461_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3339.html
黄瓜药害,http://www.114nz.com/all_images/tuku/201003/201003241503061560_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/184.html
黄瓜果腐病,http://www.114nz.com/all_images/tuku/201003/201003241450549532_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/2468.html
黄瓜花打顶,http://www.114nz.com/all_images/tuku/201003/201003221300348772_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/182.html
黄瓜靶斑病,http://www.114nz.com/all_images/tuku/201003/201003241446051642_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/173.html
无土栽培疫病,http://www.114nz.com/all_images/tuku/201004/201004121543599091_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3338.html
黄瓜绵腐病,http://www.114nz.com/all_images/tuku/201003/201003241457048717_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/158.html
黄瓜叶斑病,http://www.114nz.com/all_images/tuku/201003/201003241503181431_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/174.html
黄瓜细菌性缘枯病,http://www.114nz.com/all_images/tuku/201003/201003241502546929_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/177.html
黄瓜白粉病,http://www.114nz.com/all_images/tuku/200812/200812271633295794_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/171.html
黄瓜霜霉病,http://www.114nz.com/all_images/tuku/201008/201008311109157146_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3563.html
黄瓜炭疽病,http://www.114nz.com/all_images/tuku/200812/200812271626013925_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/167.html
黄瓜霜霉病,http://www.114nz.com/all_images/tuku/201009/201009071712211098_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3566.html
黄瓜斑点病,http://www.114nz.com/all_images/tuku/200812/200812271629247316_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/168.html
黄瓜褐斑病,http://www.114nz.com/all_images/tuku/201004/201004121539101287_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3334.html
黄瓜叶片皱缩症,http://www.114nz.com/all_images/tuku/201003/201003241503408040_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/2422.html
黄瓜细茵性绿枯病,http://www.114nz.com/all_images/tuku/201004/201004121540417064_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3335.html
黄瓜霜霉病,http://www.114nz.com/all_images/tuku/201003/201003241501415604_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/163.html
黄瓜黑星病,http://www.114nz.com/all_images/tuku/200812/200812271621323415_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/165.html
无土栽培缺素症,http://www.114nz.com/all_images/tuku/201004/201004121547102237_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3341.html
黄瓜低温障碍,http://www.114nz.com/all_images/tuku/200812/200812271650277002_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/183.html
黄瓜黑斑病,http://www.114nz.com/all_images/tuku/201003/201003241451111594_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/172.html
黄瓜瓜佬,http://www.114nz.com/all_images/tuku/201003/201003221317216243_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/2420.html
黄瓜绿粉病,http://www.114nz.com/all_images/tuku/201004/201004121541373415_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/huanggua/2011/1218/3336.html
