name,img,url
疮痂病,http://www.cgris.net/disease/10－油料/images/0862%20花生疮痂病病茎和病叶.jpg,http://www.cgris.net/disease/10－油料/0862%20花生疮痂病.htm
叶斑病,http://www.cgris.net/disease/10－油料/images/0855%20花生叶斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0855%20花生叶斑病.htm
黄化病,http://www.cgris.net/disease/10－油料/images/0872%20花生黄化病症状.jpg,http://www.cgris.net/disease/10－油料/0872%20花生黄化病.htm
芽枯病毒病,http://www.cgris.net/disease/10－油料/images/0864%20花生条纹病毒病.jpg,http://www.cgris.net/disease/10－油料/0000%20花生芽枯病毒病.htm
青枯病,http://www.cgris.net/disease/10－油料/images/0863%20花生青枯病病株.jpg,http://www.cgris.net/disease/10－油料/0863%20花生青枯病.htm
根结线虫病,http://www.cgris.net/disease/10－油料/images/0869%20花生根结线虫为害花生荚果及根部症状.jpg,http://www.cgris.net/disease/10－油料/0869%20花生根结线虫病.htm
缺素症,http://www.cgris.net/disease/10－油料/images/0870%20花生缺氮叶片变黄.jpg,http://www.cgris.net/disease/10－油料/0870-0871%20花生缺素症.htm
立枯病和纹枯病,http://www.cgris.net/disease/10－油料/images/0849%20花生立枯病病茎.jpg,http://www.cgris.net/disease/10－油料/0849-0850%20花生立枯病和纹枯病.htm
条纹病毒病,http://www.cgris.net/disease/10－油料/images/0864%20花生条纹病毒病.jpg,http://www.cgris.net/disease/10－油料/0864%20花生条纹病毒病.htm
冠腐病,http://www.cgris.net/disease/10－油料/images/0856%20花生冠腐病茎基部症状.jpg,http://www.cgris.net/disease/10－油料/0857%20花生冠腐病.htm
焦斑病 ,http://www.cgris.net/disease/10－油料/images/0861%20花生焦斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0861%20花生焦斑病.htm
花生烂种,http://www.cgris.net/disease/10－油料/images/0851%20花生烂种.jpg,http://www.cgris.net/disease/10－油料/0851%20花生烂种.htm
黄花叶病,http://www.cgris.net/disease/10－油料/images/0865%20花生黄花叶病.jpg,http://www.cgris.net/disease/10－油料/0865%20花生黄花叶病.htm
炭疽病,http://www.cgris.net/disease/10－油料/images/0859%20花生炭疽病病叶.jpg,http://www.cgris.net/disease/10－油料/0859%20花生炭疽病.htm
白绢病,http://www.cgris.net/disease/10－油料/images/0860%20花生白绢病茎基部症状.jpg,http://www.cgris.net/disease/10－油料/0860%20花生白绢病.htm
网斑病,http://www.cgris.net/disease/10－油料/images/0852%20花生网斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0852%20花生网斑病.htm
普通花叶病,http://www.cgris.net/disease/10－油料/images/0866%20花生普通花叶病.jpg,http://www.cgris.net/disease/10－油料/0866%20花生普通花叶病.htm
根腐病,http://www.cgris.net/disease/10－油料/images/0856%20花生根腐病根部症状.jpg,http://www.cgris.net/disease/10－油料/0856%20花生根腐病.htm
丛枝病,http://www.cgris.net/disease/10－油料/images/0868%20花生丛枝病病株（左）和键株.jpg,http://www.cgris.net/disease/10－油料/0868%20花生丛枝病.htm
锈病,http://www.cgris.net/disease/10－油料/images/0853%20花生锈病病叶.jpg,http://www.cgris.net/disease/10－油料/0853%20花生锈病.htm
斑驳病毒病,http://www.cgris.net/disease/10－油料/images/0867%20花生班驳病毒病.jpg,http://www.cgris.net/disease/10－油料/0867%20花生斑驳病毒病.htm
根颈腐病,http://www.cgris.net/disease/10－油料/images/0858%20花生根颈腐病症状.jpg,http://www.cgris.net/disease/10－油料/0858%20花生根颈腐病.htm
褐斑病,http://www.cgris.net/disease/10－油料/images/0854%20花生褐斑病病叶.jpg,http://www.cgris.net/disease/10－油料/0854%20花生褐斑病.htm
田茶黄硬蓟马,http://www.cgris.net/disease/10－油料/images/1299%20花生-茶黄硬蓟马.jpg,http://www.cgris.net/disease/10－油料/1299%20花生田茶黄硬蓟马.htm
田叶螨,http://www.cgris.net/disease/10－油料/images/1300%20花生-二斑叶为害花生状.jpg,http://www.cgris.net/disease/10－油料/1300、1133%20花生田叶螨.htm
田假眼小绿叶蝉和小绿叶蝉,http://www.cgris.net/disease/10－油料/images/1304%20花生-假眼小绿叶蝉成虫放大.jpg,http://www.cgris.net/disease/10－油料/1304%20、1128%20花生田假眼小绿叶蝉和小绿叶蝉.htm
田棉铃虫,http://www.cgris.net/disease/10－油料/images/1303%20花生-棉铃虫幼虫为害花生状.jpg,http://www.cgris.net/disease/10－油料/1303%20花生田棉铃虫.htm
田端大蓟马,http://www.cgris.net/disease/10－油料/images/1297%20花生-端大蓟马为害花生状.jpg,http://www.cgris.net/disease/10－油料/1297—1298%20花生田端大蓟马.htm
蚀叶野螟,http://www.cgris.net/disease/10－油料/images/1303%20花生-棉铃虫幼虫为害花生状.jpg,http://www.cgris.net/disease/10－油料/1302%20花生蚀叶野螟.htm
田灰地种蝇,http://www.cgris.net/disease/10－油料/images/1231%20油菜-种蝇.jpg,http://www.cgris.net/disease/10－油料/1231%20花生田灰地种蝇.htm
蚜,http://www.cgris.net/disease/10－油料/images/1301%20花生-花生蚜.jpg,http://www.cgris.net/disease/10－油料/1301%20花生蚜.htm
