name,img,url
胡萝卜根霉软腐病,http://www.114nz.com/all_images/tuku/201004/201004031349052075_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/2955.html
胡萝卜根生链格孢黑腐病,http://www.114nz.com/all_images/tuku/201004/201004121621078215_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/3352.html
胡萝卜花叶病毒病,http://www.114nz.com/all_images/tuku/201004/201004031356388006_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/2956.html
胡萝卜白粉病,http://www.114nz.com/all_images/tuku/201004/201004121615287250_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/3349.html
胡萝卜软腐病,http://www.114nz.com/all_images/tuku/201004/201004031403145262_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/2957.html
胡萝卜黑斑病,http://www.114nz.com/all_images/tuku/200812/200812301436322785_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/301.html
胡萝卜根结线虫病,http://www.114nz.com/all_images/tuku/200812/200812301438002025_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/302.html
胡萝卜黄化病,http://www.114nz.com/all_images/tuku/201004/201004121619487957_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/3351.html
胡萝卜根腐病,http://www.114nz.com/all_images/tuku/201004/201004121617273737_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/3350.html
胡萝卜花叶病,http://www.114nz.com/all_images/tuku/200812/200812301440016564_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/304.html
胡萝卜细菌性软腐病,http://www.114nz.com/all_images/tuku/200812/200812301439071220_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/huluobo/2011/1218/303.html
