name,img,url
茴香细菌性疫病,http://www.114nz.com/all_images/tuku/201004/201004011548436371_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/2859.html
菟丝子为害茴香,http://www.114nz.com/all_images/tuku/201004/201004011545247163_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/2858.html
茴香病毒病,http://www.114nz.com/all_images/tuku/201004/201004011535211613_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/2856.html
茴香叶枯病,http://www.114nz.com/all_images/tuku/201004/201004011557239115_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/2862.html
茴香猝倒病,http://www.114nz.com/all_images/tuku/200812/200812300849477394_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/279.html
茴香菌核病,http://www.114nz.com/all_images/tuku/201004/201004011542586327_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/2857.html
茴香细菌疫病,http://www.114nz.com/all_images/tuku/200812/200812300854463117_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/284.html
菟丝子为害茴香,http://www.114nz.com/all_images/tuku/200812/200812300855584021_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/285.html
球茎茴香软腐病,http://www.114nz.com/all_images/tuku/200812/200812300853445183_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/283.html
茴香枯萎病,http://www.114nz.com/all_images/tuku/201004/201004011543219143_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/282.html
茴香灰斑病,http://www.114nz.com/all_images/tuku/200812/200812300851514176_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/281.html
茴香立枯病,http://www.114nz.com/all_images/tuku/200812/200812300850359628_y.jpg,http://pic.114nz.com/image/shucaibinghai/yecailei/zuoxiang/2011/1218/280.html
