name,img,url
苦瓜蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003311328158342_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2783.html
苦瓜细菌性角斑病,http://www.114nz.com/all_images/tuku/201003/201003311342157375_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2785.html
苦瓜霜霉病,http://www.114nz.com/all_images/tuku/201003/201003311335567061_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2784.html
苦瓜链格孢黑霉病,http://www.114nz.com/all_images/tuku/201004/201004151349468044_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/3507.html
苦瓜根结线虫病,http://www.114nz.com/all_images/tuku/201003/201003311322299910_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2780.html
苦瓜灰斑病,http://www.114nz.com/all_images/tuku/201003/201003311324312778_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2781.html
苦瓜菌核病,http://www.114nz.com/all_images/tuku/201003/201003311326074899_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2782.html
苦瓜绵腐病,http://www.114nz.com/all_images/tuku/201004/201004151350505802_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/3508.html
苦瓜叶枯病,http://www.114nz.com/all_images/tuku/201003/201003311344069763_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2786.html
苦瓜白绢病,http://www.114nz.com/all_images/tuku/200812/200812291026215406_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/193.html
苦瓜枯萎病,http://www.114nz.com/all_images/tuku/201003/201003311326215483_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/192.html
苦瓜白斑病,http://www.114nz.com/all_images/tuku/201003/201003311301079671_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/2779.html
苦瓜白粉病,http://www.114nz.com/all_images/tuku/201003/201003311320134614_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/194.html
苦瓜斑点病,http://www.114nz.com/all_images/tuku/200812/200812291030026172_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/195.html
苦瓜病毒病,http://www.114nz.com/all_images/tuku/201003/201003311320494188_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/kugua/2011/1218/196.html
