name,img,url
辣椒污煤病,http://www.114nz.com/all_images/tuku/201004/201004071250508471_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3107.html
辣椒黑斑病,http://www.114nz.com/all_images/tuku/201004/201004061616166708_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3096.html
辣椒低温冷害和冻害,http://www.114nz.com/all_images/tuku/201004/201004061604588387_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3093.html
辣椒菌核病,http://www.114nz.com/all_images/tuku/201004/201004061632057913_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3101.html
甜椒、辣椒褐斑病,http://www.114nz.com/all_images/tuku/201004/201004031636529151_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/266.html
辣椒猝倒病,http://www.114nz.com/all_images/tuku/201004/201004131549038958_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3394.html
芽枝霉果腐病,http://www.114nz.com/all_images/tuku/201004/201004131553011999_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3397.html
辣椒斑萎病,http://www.114nz.com/all_images/tuku/201004/201004131550345542_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3395.html
辣椒立枯病,http://www.114nz.com/all_images/tuku/201004/201004131547572835_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3393.html
辣椒软腐病,http://www.114nz.com/all_images/tuku/201004/201004061653505604_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3106.html
辣椒斑枯病,http://www.114nz.com/all_images/tuku/201004/201004061555156344_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3087.html
落叶、落花和落果,http://www.114nz.com/all_images/tuku/201004/201004131554543382_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3398.html
甜椒、辣椒疫病,http://www.114nz.com/all_images/tuku/201010/201010080931502379_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3572.html
辣椒白斑病,http://www.114nz.com/all_images/tuku/201004/201004061552356778_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3086.html
辣椒芽枝霉果腐病,http://www.114nz.com/all_images/tuku/201004/201004071259257904_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3109.html
甜椒、辣椒病毒病,http://www.114nz.com/all_images/tuku/201004/201004031632269795_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/271.html
辣椒黑霉病,http://www.114nz.com/all_images/tuku/201004/201004061619363909_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3097.html
辣椒叶枯病,http://www.114nz.com/all_images/tuku/201004/201004131543118491_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3390.html
辣椒霜霉病,http://www.114nz.com/all_images/tuku/201003/201003251520048516_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/2542.html
辣椒根腐病,http://www.114nz.com/all_images/tuku/201004/201004131546051181_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3392.html
辣椒高温障碍,http://www.114nz.com/all_images/tuku/201004/201004061606552245_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3094.html
辣椒叶枯病,http://www.114nz.com/all_images/tuku/201004/201004071302556001_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3110.html
甜椒、辣椒白星病,http://www.114nz.com/all_images/tuku/201004/201004031630065613_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/270.html
辣椒黄萎病,http://www.114nz.com/all_images/tuku/201004/201004061626146751_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3099.html
辣椒细菌性叶斑病,http://www.114nz.com/all_images/tuku/201004/201004071254278230_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3108.html
甜椒、辣椒灰霉病,http://www.114nz.com/all_images/tuku/201003/201003251505441336_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/268.html
辣椒早疫病,http://www.114nz.com/all_images/tuku/201004/201004131544418904_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3391.html
甜椒、辣椒脐腐病,http://www.114nz.com/all_images/tuku/201004/201004031647552263_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/273.html
辣椒青枯病,http://www.114nz.com/all_images/tuku/201004/201004061638272981_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3103.html
辣椒疮痂病,http://www.114nz.com/all_images/tuku/201004/201004061600025180_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3091.html
辣椒紫斑病,http://www.114nz.com/all_images/tuku/201004/201004071309403445_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3112.html
辣椒褐腐病,http://www.114nz.com/all_images/tuku/201004/201004061611004970_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3095.html
甜椒、辣椒炭疽病,http://www.114nz.com/all_images/tuku/200812/200812291552218538_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/267.html
辣椒叶霉病,http://www.114nz.com/all_images/tuku/201004/201004071307103943_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3111.html
甜椒、辣椒白粉病,http://www.114nz.com/all_images/tuku/201004/201004031629048205_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/269.html
辣椒枯萎病,http://www.114nz.com/all_images/tuku/201004/201004061634178346_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3102.html
辣椒黄萎病,http://www.114nz.com/all_images/tuku/201004/201004131551506019_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3396.html
辣椒日灼病,http://www.114nz.com/all_images/tuku/201004/201004061651034090_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3105.html
辣椒畸形果,http://www.114nz.com/all_images/tuku/201004/201004131656169308_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3100.html
辣椒缺镁症,http://www.114nz.com/all_images/tuku/201004/201004061642458950_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3104.html
甜椒、辣椒疫病,http://www.114nz.com/all_images/tuku/201004/201004031657321584_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/265.html
辣椒虎皮病,http://www.114nz.com/all_images/tuku/201004/201004131656388655_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/3098.html
甜椒、辣椒日灼,http://www.114nz.com/all_images/tuku/200812/200812291602024832_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/272.html
甜椒、辣椒绵腐病,http://www.114nz.com/all_images/tuku/201004/201004031647207904_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/264.html
菟丝子为害辣椒,http://www.114nz.com/all_images/tuku/200812/200812291603517903_y.jpg,http://pic.114nz.com/image/shucaibinghai/qieguolei/lajiao/2011/1218/274.html
