name,img,url
梨裂果病,http://www.114nz.com/all_images/tuku/201004/201004141542311634_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3462.html
梨石果病毒病,http://www.114nz.com/all_images/tuku/200901/200901070917491665_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/599.html
梨黑心病,http://www.114nz.com/all_images/tuku/201004/201004141547331046_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3468.html
梨树白纹羽病,http://www.114nz.com/all_images/tuku/201004/201004141546456762_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3467.html
梨树干腐病,http://www.114nz.com/all_images/tuku/200901/200901070835329794_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/584.html
梨青霉病,http://www.114nz.com/all_images/tuku/201003/201003291526204579_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/587.html
梨炭疽病,http://www.114nz.com/all_images/tuku/201004/201004141647156205_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/593.html
梨树火疫病,http://www.114nz.com/all_images/tuku/200901/200901070907467439_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/596.html
梨褐斑病,http://www.114nz.com/all_images/tuku/200901/200901070814033295_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/573.html
梨褐心病和心腐病,http://www.114nz.com/all_images/tuku/200901/200901070859492977_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/592.html
梨树细菌性花腐病,http://www.114nz.com/all_images/tuku/200901/200901070906192333_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/595.html
梨黑星病,http://www.114nz.com/all_images/tuku/201003/201003291518202699_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/579.html
梨煤污病,http://www.114nz.com/all_images/tuku/200901/200901070858176111_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/591.html
梨脉黄病毒病,http://www.114nz.com/all_images/tuku/201004/201004141543565209_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3464.html
梨红粉病,http://www.114nz.com/all_images/tuku/201004/201004141543202869_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3463.html
梨树根癌病,http://www.114nz.com/all_images/tuku/201004/201004141544535027_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3466.html
梨叶疫病,http://www.114nz.com/all_images/tuku/200901/200901070816327412_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/575.html
梨树干枯病,http://www.114nz.com/all_images/tuku/200901/200901070834118154_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/583.html
梨叶灼病,http://www.114nz.com/all_images/tuku/201004/201004141541375770_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3461.html
梨牛眼烂果病,http://www.114nz.com/all_images/tuku/200901/200901070846573363_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/589.html
梨灰色膏药病,http://www.114nz.com/all_images/tuku/201003/201003291648011475_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/2700.html
梨疫腐病,http://www.114nz.com/all_images/tuku/200901/200901070821189527_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/578.html
梨褐腐病,http://www.114nz.com/all_images/tuku/200901/200901070845574476_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/588.html
梨轮斑病,http://www.114nz.com/all_images/tuku/200901/200901070817231576_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/576.html
梨毛霉软腐病,http://www.114nz.com/all_images/tuku/200901/200901070856433866_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/590.html
梨树环纹花叶病,http://www.114nz.com/all_images/tuku/200901/200901070916182940_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/598.html
梨树白粉病,http://www.114nz.com/all_images/tuku/200901/200901070825407868_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/580.html
梨锈病,http://www.114nz.com/all_images/tuku/201003/201003291527201891_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/572.html
梨干枯病,http://www.114nz.com/all_images/tuku/201003/201003291631012071_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/2693.html
梨树缺铁黄化病,http://www.114nz.com/all_images/tuku/200901/200901070933354303_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/604.html
梨红粉病,http://www.114nz.com/all_images/tuku/201003/201003291640393610_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/2697.html
梨树红粉病,http://www.114nz.com/all_images/tuku/200901/200901070840069354_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/586.html
梨树腐烂病,http://www.114nz.com/all_images/tuku/200901/200901070830458665_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/582.html
梨树脉黄病毒病,http://www.114nz.com/all_images/tuku/200901/200901070914189423_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/597.html
梨黑蒂病,http://www.114nz.com/all_images/tuku/201004/201004141548151081_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/3470.html
苹果梨黑皮病,http://www.114nz.com/all_images/tuku/200901/200901070927124099_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/601.html
梨树衰退病,http://www.114nz.com/all_images/tuku/200901/200901070925289054_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/600.html
梨树根腐病,http://www.114nz.com/all_images/tuku/200901/200901070904384370_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/594.html
梨轮纹病,http://www.114nz.com/all_images/tuku/201003/201003291526008135_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/581.html
梨褐烫病,http://www.114nz.com/all_images/tuku/200901/200901070929205466_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/602.html
梨树冻害,http://www.114nz.com/all_images/tuku/200901/200901070931083947_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/603.html
梨黑斑病,http://www.114nz.com/all_images/tuku/201003/201003291516348408_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/574.html
梨灰斑病,http://www.114nz.com/all_images/tuku/201003/201003291519423702_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/577.html
梨树枝枯病,http://www.114nz.com/all_images/tuku/200901/200901070837001538_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/li/2011/1218/585.html
