name,img,url
荔枝炭疽病,http://www.114nz.com/all_images/tuku/201003/201003291531281062_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/467.html
荔枝拟盘多毛孢叶斑病,http://www.114nz.com/all_images/tuku/200901/200901061302453200_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/469.html
荔枝叶状地衣病,http://www.114nz.com/all_images/tuku/200901/200901061306411266_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/471.html
荔枝藻斑病,http://www.114nz.com/all_images/tuku/200901/200901061303572103_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/470.html
荔枝灰斑病,http://www.114nz.com/all_images/tuku/200901/200901061249467382_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/463.html
荔枝镰刀菌根腐病,http://www.114nz.com/all_images/tuku/200901/200901061246332756_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/461.html
荔枝毛毡病,http://www.114nz.com/all_images/tuku/201003/201003301255568736_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/2711.html
荔枝壳二孢叶斑病,http://www.114nz.com/all_images/tuku/200901/200901061253049476_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/465.html
荔枝斑点病,http://www.114nz.com/all_images/tuku/200901/200901061248328547_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/462.html
荔枝霜疫霉病,http://www.114nz.com/all_images/tuku/201003/201003301301141825_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/2712.html
荔枝树沤根,http://www.114nz.com/all_images/tuku/200901/200901061309573630_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/472.html
荔枝酸腐病,http://www.114nz.com/all_images/tuku/201003/201003291531065380_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/468.html
荔枝霜疫病,http://www.114nz.com/all_images/tuku/200901/200901061254119851_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/466.html
荔枝叶枯病,http://www.114nz.com/all_images/tuku/200901/200901061250457851_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/lizhi/2011/1218/464.html
