name,img,url
萝卜褐斑病,http://www.114nz.com/all_images/tuku/201004/201004031430308617_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2963.html
萝卜白粉病,http://www.114nz.com/all_images/tuku/201004/201004031419039572_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2961.html
萝卜黑根病,http://www.114nz.com/all_images/tuku/201004/201004031437557001_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2965.html
萝卜肉质根开裂,http://www.114nz.com/all_images/tuku/201004/201004031439383731_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2966.html
萝卜根肿病,http://www.114nz.com/all_images/tuku/200812/200812301454094329_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/310.html
萝卜白锈病,http://www.114nz.com/all_images/tuku/201004/201004031308059559_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/308.html
萝卜细菌性角斑病,http://www.114nz.com/all_images/tuku/201004/201004031444031837_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2968.html
萝卜黄萎病,http://www.114nz.com/all_images/tuku/201004/201004121606504607_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/3344.html
萝卜黑腐病,http://www.114nz.com/all_images/tuku/201004/201004031313072307_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/311.html
萝卜细菌性黑斑病,http://www.114nz.com/all_images/tuku/201004/201004121608332976_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/3345.html
萝卜炭疽病,http://www.114nz.com/all_images/tuku/201004/201004031316097923_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/309.html
樱桃萝卜褐腐病,http://www.114nz.com/all_images/tuku/201004/201004121610159282_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/3346.html
萝卜病毒病,http://www.114nz.com/all_images/tuku/201004/201004031308435571_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/313.html
水萝卜肉质根分叉,http://www.114nz.com/all_images/tuku/201004/201004121614425738_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/3348.html
萝卜霜霉病,http://www.114nz.com/all_images/tuku/201004/201004031315459788_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/305.html
萝卜细菌性斑点病,http://www.114nz.com/all_images/tuku/201004/201004031441484432_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2967.html
萝卜软腐病,http://www.114nz.com/all_images/tuku/201004/201004031314569461_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/312.html
萝卜褐腐病,http://www.114nz.com/all_images/tuku/201004/201004031432262105_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2964.html
萝卜黑斑病,http://www.114nz.com/all_images/tuku/201004/201004031312234177_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/306.html
萝卜白斑病,http://www.114nz.com/all_images/tuku/201004/201004031307289826_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/307.html
萝卜猝倒病,http://www.114nz.com/all_images/tuku/201004/201004031423384100_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/2962.html
樱桃萝卜病毒病,http://www.114nz.com/all_images/tuku/201004/201004121611546459_y.jpg,http://pic.114nz.com/image/shucaibinghai/gencailei/luobo/2011/1218/3347.html
