name,img,url
黄麻炭疽病,http://www.cgris.net/disease/09－棉麻/images/0819%20黄麻炭疽病病叶和病茎.jpg,http://www.cgris.net/disease/09－棉麻/0819-0820%20黄麻炭疽病.htm
亚麻、胡麻假黑斑病,http://www.cgris.net/disease/09－棉麻/images/0837%20亚麻假黑斑病叶尖变褐枯死.jpg,http://www.cgris.net/disease/09－棉麻/0837%20亚麻、胡麻假黑斑病.htm
大麻白斑病,http://www.cgris.net/disease/09－棉麻/images/0831%20大麻白斑病与霉斑病混生状.jpg,http://www.cgris.net/disease/09－棉麻/0831%20大麻白斑病.htm
苘麻青麻胴枯病,http://www.cgris.net/disease/09－棉麻/images/0835%20苘麻胴枯病病茎.jpg,http://www.cgris.net/disease/09－棉麻/0835%20苘麻(青麻)胴枯病.htm
黄麻黑点炭疽病,http://www.cgris.net/disease/09－棉麻/images/0821%20黄麻黑点炭疽病病叶和病茎.jpg,http://www.cgris.net/disease/09－棉麻/0821%20黄麻黑点炭疽病.htm
亚麻、胡麻斑点病,http://www.cgris.net/disease/09－棉麻/images/0838%20亚麻斑点病初期病叶.jpg,http://www.cgris.net/disease/09－棉麻/0838-0839%20亚麻、胡麻斑点病.htm
大麻霜霉病,http://www.cgris.net/disease/09－棉麻/images/0833%20大麻霜霉病病叶.jpg,http://www.cgris.net/disease/09－棉麻/0833%20大麻霜霉病.htm
苎麻褐斑病,http://www.cgris.net/disease/09－棉麻/images/0826%20苎麻褐斑病病叶.jpg,http://www.cgris.net/disease/09－棉麻/0826%20苎麻褐斑病.htm
黄麻褐斑病,http://www.cgris.net/disease/09－棉麻/images/0822%20黄麻褐斑病病叶.jpg,http://www.cgris.net/disease/09－棉麻/0822%20黄麻褐斑病.htm
亚麻、胡麻炭疽病,http://www.cgris.net/disease/09－棉麻/images/0840%20亚麻炭疽病病叶.jpg,http://www.cgris.net/disease/09－棉麻/0840%20亚麻、胡麻炭疽病.htm
大麻秆腐病,http://www.cgris.net/disease/09－棉麻/images/0832%20大麻秆腐病病茎.jpg,http://www.cgris.net/disease/09－棉麻/0832%20大麻秆腐病.htm
苎麻花叶病,http://www.cgris.net/disease/09－棉麻/images/0828%20苎麻花叶病心叶症状.jpg,http://www.cgris.net/disease/09－棉麻/0828%20苎麻花叶病.htm
