name,img,url
芒果疮痂病,http://www.114nz.com/all_images/tuku/200901/200901061335421025_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/485.html
芒果细菌性角斑病,http://www.114nz.com/all_images/tuku/200901/200901061337192619_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/486.html
芒果白斑病,http://www.114nz.com/all_images/tuku/200901/200901061326383404_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/478.html
芒果叶点霉叶斑病,http://www.114nz.com/all_images/tuku/200901/200901061329411799_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/480.html
芒果小穴壳蒂腐病,http://www.114nz.com/all_images/tuku/200901/200901061323139558_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/475.html
芒果拟盘多毛孢叶枯病,http://www.114nz.com/all_images/tuku/200901/200901061327573133_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/479.html
芒果炭疽病,http://www.114nz.com/all_images/tuku/201003/201003291534425515_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/473.html
芒果白粉病,http://www.114nz.com/all_images/tuku/200901/200901061324597810_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/476.html
芒果茎点霉叶斑病,http://www.114nz.com/all_images/tuku/200901/200901061330392651_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/481.html
芒果焦腐病,http://www.114nz.com/all_images/tuku/200901/200901061321259220_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/474.html
芒果棒孢叶斑病,http://www.114nz.com/all_images/tuku/200901/200901061331404921_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/482.html
芒果树脂病,http://www.114nz.com/all_images/tuku/200901/200901061334161744_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/484.html
芒果煤病,http://www.114nz.com/all_images/tuku/200901/200901061325516305_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/477.html
芒果生理性叶缘焦枯,http://www.114nz.com/all_images/tuku/200901/200901061338359957_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/487.html
芒果叶疫病,http://www.114nz.com/all_images/tuku/200901/200901061332488368_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/mangguo/2011/1218/483.html
