name,img,url
棉苗立枯病,http://www.cgris.net/disease/09－棉麻/images/0769%20棉花-棉苗立枯病.jpg,http://www.cgris.net/disease/09－棉麻/0769%20棉花棉苗立枯病.htm
棉铃曲霉病,http://www.cgris.net/disease/09－棉麻/images/0792%20棉花-棉铃曲霉病病铃.jpg,http://www.cgris.net/disease/09－棉麻/0792%20棉花棉铃曲霉病.htm
棉铃灰霉病,http://www.cgris.net/disease/09－棉麻/images/0791%20棉花-棉铃灰霉病病铃.jpg,http://www.cgris.net/disease/09－棉麻/0791%20棉花棉铃灰霉病.htm
铃软腐病,http://www.cgris.net/disease/09－棉麻/images/0790%20棉花-棉铃软腐病病铃.jpg,http://www.cgris.net/disease/09－棉麻/0790%20棉花铃软腐病.htm
角斑病,http://www.cgris.net/disease/09－棉麻/images/0801%20棉花角斑病真叶症状%20副本.jpg,http://www.cgris.net/disease/09－棉麻/0801-0802%20棉花角斑病.htm
白霉病,http://www.cgris.net/disease/09－棉麻/images/0793%20棉花白霉病病叶.jpg,http://www.cgris.net/disease/09－棉麻/0793%20棉花白霉病.htm
棉花药害 ,http://www.cgris.net/disease/09－棉麻/images/0816%20棉花药害.jpg,http://www.cgris.net/disease/09－棉麻/0816%20棉花药害.htm
棉铃红腐病,http://www.cgris.net/disease/09－棉麻/images/0789%20棉花-棉铃红腐病病铃.jpg,http://www.cgris.net/disease/09－棉麻/0789%20棉花棉铃红腐病.htm
棉苗炭疽病,http://www.cgris.net/disease/09－棉麻/images/0770%20棉花幼苗炭疽病病茎.jpg,http://www.cgris.net/disease/09－棉麻/0770-0771%20棉花棉苗炭疽病.htm
褐斑病,http://www.cgris.net/disease/09－棉麻/images/0794%20棉花褐斑病病叶.jpg,http://www.cgris.net/disease/09－棉麻/0794%20棉花褐斑病.htm
缺素症,http://www.cgris.net/disease/09－棉麻/images/0807%20棉花缺氮症状.jpg,http://www.cgris.net/disease/09－棉麻/0807-0808、0809-0815%20棉花缺素症.htm
刺线虫病,http://www.cgris.net/disease/09－棉麻/images/0805%20棉花刺线虫病根部症状.jpg,http://www.cgris.net/disease/09－棉麻/0805%20棉花刺线虫病.htm
棉苗红腐病,http://www.cgris.net/disease/09－棉麻/images/0772%20棉花-棉苗红腐病发病初期症状.jpg,http://www.cgris.net/disease/09－棉麻/0772%20棉花棉苗红腐病.htm
叶烧病,http://www.cgris.net/disease/09－棉麻/images/0795%20棉花-棉叶烧病雨后病叶症状.jpg,http://www.cgris.net/disease/09－棉麻/0795%20棉花叶烧病.htm
红（黄）叶枯病,http://www.cgris.net/disease/09－棉麻/images/0806%20棉花红（黄）叶枯病症状.jpg,http://www.cgris.net/disease/09－棉麻/0806%20棉花红（黄）叶枯病.htm
棉铃黑果病,http://www.cgris.net/disease/09－棉麻/images/0787%20棉花-棉铃黑果病病铃.jpg,http://www.cgris.net/disease/09－棉麻/0787%20棉花棉铃黑果病.htm
枯萎病,http://www.cgris.net/disease/09－棉麻/images/0774%20棉花枯萎病青枯型病株.jpg,http://www.cgris.net/disease/09－棉麻/0774-0776、0777-0778%20棉花枯萎病.htm
轮纹病,http://www.cgris.net/disease/09－棉麻/images/0796%20棉花轮纹病子叶症状.jpg,http://www.cgris.net/disease/09－棉麻/0796-0797%20棉花轮纹病.htm
红粉病,http://www.cgris.net/disease/09－棉麻/images/0788%20棉花红粉病病铃.jpg,http://www.cgris.net/disease/09－棉麻/0788%20棉花红粉病.htm
花叶病毒病,http://www.cgris.net/disease/09－棉麻/images/0803%20棉花病毒病症状.jpg,http://www.cgris.net/disease/09－棉麻/0803%20棉花花叶病毒病.htm
棉花黄萎病,http://www.cgris.net/disease/09－棉麻/images/0779%20棉花黄萎病植株发病初期病叶.jpg,http://www.cgris.net/disease/09－棉麻/0779-0784%20棉花黄萎病.htm
茎枯病,http://www.cgris.net/disease/09－棉麻/images/0798%20棉花茎枯病子叶症状.jpg,http://www.cgris.net/disease/09－棉麻/0798-0800%20棉花茎枯病.htm
根结线虫病,http://www.cgris.net/disease/09－棉麻/images/0804%20棉花根结线虫病根部症状.jpg,http://www.cgris.net/disease/09－棉麻/0804%20棉花根结线虫病.htm
棉铃疫病,http://www.cgris.net/disease/09－棉麻/images/0785%20棉花-棉铃疫病发病初期症状.jpg,http://www.cgris.net/disease/09－棉麻/0785-0786棉花棉铃疫病.htm
赤须盲蝽,http://www.cgris.net/disease/09－棉麻/images/0622%20玉米赤须盲蝽若虫.jpg,http://www.cgris.net/disease/09－棉麻/0622%20棉花赤须盲蝽.htm
棉田地老虎,http://www.cgris.net/disease/09－棉麻/images/0681%20地下害虫-黄地老虎成虫.jpg,http://www.cgris.net/disease/09－棉麻/0681—0684%20棉花棉田地老虎.htm
