name,img,url
南瓜镰孢果腐病,http://www.114nz.com/all_images/tuku/201004/201004151354578749_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/3512.html
南瓜花叶病毒病,http://www.114nz.com/all_images/tuku/200812/200812291013236297_y.JPG,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/187.html
南瓜白粉病,http://www.114nz.com/all_images/tuku/201003/201003301430412792_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/185.html
南瓜斑点病,http://www.114nz.com/all_images/tuku/201003/201003301430544323_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/186.html
南瓜花腐病,http://www.114nz.com/all_images/tuku/201004/201004151353085525_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/3510.html
南瓜细菌性缘枯病,http://www.114nz.com/all_images/tuku/201004/201004151356009173_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/3513.html
南瓜立枯病,http://www.114nz.com/all_images/tuku/201004/201004151353503546_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/3511.html
南瓜猝倒病,http://www.114nz.com/all_images/tuku/201004/201004151352134160_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/3509.html
南瓜灰斑病,http://www.114nz.com/all_images/tuku/201003/201003301448073639_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2756.html
南瓜病毒病,http://www.114nz.com/all_images/tuku/201003/201003301433066260_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2753.html
南瓜（壳针孢）角斑病,http://www.114nz.com/all_images/tuku/201003/201003301430287695_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2752.html
南瓜枯萎病,http://www.114nz.com/all_images/tuku/201003/201003301452444611_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2758.html
南瓜蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003301500456435_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2760.html
南瓜黑星病,http://www.114nz.com/all_images/tuku/201003/201003301443185575_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2755.html
南瓜褐腐病,http://www.114nz.com/all_images/tuku/201003/201003301438053271_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2754.html
南瓜霜霉病,http://www.114nz.com/all_images/tuku/201003/201003301502268024_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2761.html
南瓜疫病,http://www.114nz.com/all_images/tuku/201003/201003301503354046_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/nangua/2011/1218/2762.html
