name,img,url
苹果缺氮症,http://www.114nz.com/all_images/tuku/200901/200901061547151473_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/540.html
苹果日灼病,http://www.114nz.com/all_images/tuku/201004/201004141533588383_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/3454.html
苹果青霉病,http://www.114nz.com/all_images/tuku/201003/201003291538081955_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/499.html
苹果轮斑病,http://www.114nz.com/all_images/tuku/200901/200901061351378272_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/492.html
苹果日灼,http://www.114nz.com/all_images/tuku/200901/200901061544305682_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/539.html
苹果树白纹羽病,http://www.114nz.com/all_images/tuku/200901/200901061514055639_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/526.html
苹果蝇粪病,http://www.114nz.com/all_images/tuku/200901/200901061412422264_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/501.html
苹果牛眼烂果病,http://www.114nz.com/all_images/tuku/201004/201004141517379677_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/3443.html
苹果锈病,http://www.114nz.com/all_images/tuku/200901/200901061352299629_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/493.html
苹果树枝溃疡病,http://www.114nz.com/all_images/tuku/201004/201004141521491613_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/3446.html
苹果树衰退病,http://www.114nz.com/all_images/tuku/200901/200901061509417267_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/524.html
红玉苹果斑点病,http://www.114nz.com/all_images/tuku/200901/200901061452088196_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/518.html
苹果花叶病,http://www.114nz.com/all_images/tuku/201003/201003291537489776_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/533.html
苹果幼树立枯病,http://www.114nz.com/all_images/tuku/200901/200901061427486221_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/506.html
苹果褐烫病,http://www.114nz.com/all_images/tuku/200901/200901061459401240_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/521.html
苹果褐腐病,http://www.114nz.com/all_images/tuku/200901/200901061411123213_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/500.html
苹果软枝病,http://www.114nz.com/all_images/tuku/201004/201004141535402685_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/3456.html
苹果圆斑病,http://www.114nz.com/all_images/tuku/200901/200901061431124927_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/509.html
苹果树腐烂病,http://www.114nz.com/all_images/tuku/200901/200901061436359672_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/511.html
苹果树小叶病,http://www.114nz.com/all_images/tuku/200901/200901061558495162_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/547.html
苹果裂果病,http://www.114nz.com/all_images/tuku/201004/201004141532385416_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/3452.html
苹果果肉褐变病,http://www.114nz.com/all_images/tuku/200901/200901061502193254_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/523.html
苹果疱斑病,http://www.114nz.com/all_images/tuku/200901/200901061433097916_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/510.html
苹果树紫纹羽病,http://www.114nz.com/all_images/tuku/200901/200901061511128318_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/525.html
苹果干腐病,http://www.114nz.com/all_images/tuku/200901/200901061437482253_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/512.html
苹果链格孢烂果病,http://www.114nz.com/all_images/tuku/200901/200901061501239088_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/522.html
苹果裂果,http://www.114nz.com/all_images/tuku/200901/200901061543334299_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/538.html
苹果水心病,http://www.114nz.com/all_images/tuku/200901/200901061455299476_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/520.html
苹果树粗皮病,http://www.114nz.com/all_images/tuku/200901/200901061600157715_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/548.html
苹果缩果病,http://www.114nz.com/all_images/tuku/200901/200901061556376239_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/545.html
苹果黑腐病,http://www.114nz.com/all_images/tuku/200901/200901061420223729_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/502.html
苹果树丛枝病,http://www.114nz.com/all_images/tuku/200901/200901061534123260_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/534.html
苹果果锈病,http://www.114nz.com/all_images/tuku/200901/200901061540387563_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/536.html
苹果红粉病,http://www.114nz.com/all_images/tuku/200901/200901061429056894_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/507.html
苹果绣果病,http://www.114nz.com/all_images/tuku/200901/200901061535415970_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/535.html
苹果圆斑根腐病,http://www.114nz.com/all_images/tuku/200901/200901061522178222_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/529.html
苹果树枝枯病,http://www.114nz.com/all_images/tuku/200901/200901061443169185_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/514.html
苹果缺钾症,http://www.114nz.com/all_images/tuku/200901/200901061552008527_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/542.html
苹果树根腐线虫病,http://www.114nz.com/all_images/tuku/200901/200901061523512974_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/530.html
苹果缺磷症,http://www.114nz.com/all_images/tuku/200901/200901061550539068_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/541.html
苹果缺锌症,http://www.114nz.com/all_images/tuku/200901/200901061558001785_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/546.html
苹果疫腐病,http://www.114nz.com/all_images/tuku/200901/200901061426451165_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/505.html
苹果缺铁症,http://www.114nz.com/all_images/tuku/200901/200901061552587144_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/543.html
苹果缺镁症,http://www.114nz.com/all_images/tuku/200901/200901061554525334_y.jpg,http://pic.114nz.com/image/guoshubinghai/renguolei/pingguo/2011/1218/544.html
