name,img,url
葡萄扇叶病,http://www.114nz.com/all_images/tuku/201003/201003251328022313_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/689.html
葡萄花叶病毒病,http://www.114nz.com/all_images/tuku/200901/200901081529435012_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/690.html
葡萄根癌病,http://www.114nz.com/all_images/tuku/201003/201003241628511277_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/686.html
葡萄白纹羽病,http://www.114nz.com/all_images/tuku/201003/201003241626568215_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/2501.html
葡萄炭疽病,http://www.114nz.com/all_images/tuku/201003/201003311558454921_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/671.html
葡萄日灼病,http://www.114nz.com/all_images/tuku/200901/200901081540005078_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/695.html
葡萄灰斑病,http://www.114nz.com/all_images/tuku/200901/200901081500289653_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/683.html
葡萄黄脉病,http://www.114nz.com/all_images/tuku/200901/200901081533389643_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/692.html
葡萄小褐斑病,http://www.114nz.com/all_images/tuku/200901/200901081439455968_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/670.html
葡萄灰霉病,http://www.114nz.com/all_images/tuku/201003/201003251324314058_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/677.html
葡萄茎痘病,http://www.114nz.com/all_images/tuku/200901/200901081514478702_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/688.html
葡萄房枯病,http://www.114nz.com/all_images/tuku/201003/201003311555251715_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/675.html
葡萄穗轴褐枯病,http://www.114nz.com/all_images/tuku/201003/201003251328535693_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/678.html
葡萄缺铁症,http://www.114nz.com/all_images/tuku/201003/201003251331113863_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/699.html
葡萄轮斑病,http://www.114nz.com/all_images/tuku/201003/201003251326397229_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/682.html
葡萄白粉病,http://www.114nz.com/all_images/tuku/201003/201003311553498013_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/676.html
葡萄黑腐病,http://www.114nz.com/all_images/tuku/201003/201003251318301781_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/680.html
葡萄皮尔氏病,http://www.114nz.com/all_images/tuku/201003/201003251327045006_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/685.html
葡萄霜霉病,http://www.114nz.com/all_images/tuku/201003/201003311557544782_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/669.html
葡萄锈病,http://www.114nz.com/all_images/tuku/200901/200901081456511614_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/681.html
葡萄缺锌症,http://www.114nz.com/all_images/tuku/201003/201003251330416925_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/698.html
葡萄缺节瘿螨毛毡病,http://www.114nz.com/all_images/tuku/200901/200901081537495371_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/694.html
葡萄大褐斑病,http://www.114nz.com/all_images/tuku/201003/201003241628244160_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/2503.html
葡萄黑痘病,http://www.114nz.com/all_images/tuku/201003/201003311556118160_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/672.html
葡萄黄点病,http://www.114nz.com/all_images/tuku/200901/200901081531218523_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/691.html
葡萄缺硼症,http://www.114nz.com/all_images/tuku/200901/200901081548408274_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/697.html
葡萄卷叶病,http://www.114nz.com/all_images/tuku/201003/201003251326245510_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/693.html
葡萄盘状盘多毛孢枝枯病,http://www.114nz.com/all_images/tuku/200901/200901081455036502_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/679.html
葡萄栓皮病,http://www.114nz.com/all_images/tuku/201003/201003251328145682_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/687.html
葡萄褐斑病,http://www.114nz.com/all_images/tuku/201003/201003311650358368_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/2826.html
葡萄蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003251326527241_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/673.html
葡萄假尾孢褐斑病,http://www.114nz.com/all_images/tuku/201003/201003251325319594_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/684.html
葡萄裂果,http://www.114nz.com/all_images/tuku/200901/200901081543167473_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/696.html
葡萄白腐病,http://www.114nz.com/all_images/tuku/201003/201003241624123500_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/674.html
葡萄缺锰症,http://www.114nz.com/all_images/tuku/200901/200901081554087131_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/putao/2011/1218/700.html
