name,img,url
桑细菌性疫病,http://www.114nz.com/all_images/tuku/200911/200911131438477776_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/2006.html
桑叶枯病,http://www.114nz.com/all_images/tuku/201004/201004131308346630_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/3354.html
桑萎缩型萎缩病,http://www.114nz.com/all_images/tuku/200911/200911131409456916_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1996.html
桑树氟化物中毒,http://www.114nz.com/all_images/tuku/200911/200911131431168854_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/2003.html
桑树缺硼症,http://www.114nz.com/all_images/tuku/200911/200911131429586343_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/2002.html
桑褐斑病,http://www.114nz.com/all_images/tuku/200911/200911131344099846_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1989.html
桑炭疽病,http://www.114nz.com/all_images/tuku/200911/200911131437033179_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/2005.html
桑树低温障碍,http://www.114nz.com/all_images/tuku/200911/200911131427062204_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/2000.html
桑椹菌核病,http://www.114nz.com/all_images/tuku/200911/200911131428415476_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/2001.html
桑花叶卷叶病,http://www.114nz.com/all_images/tuku/200911/200911131411077241_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1997.html
桑拟干枯病,http://www.114nz.com/all_images/tuku/200911/200911121629169924_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1981.html
桑干枯病,http://www.114nz.com/all_images/tuku/200911/200911131304348802_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1984.html
桑丝叶病毒病,http://www.114nz.com/all_images/tuku/200911/200911121548381216_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1980.html
桑根结线虫病,http://www.114nz.com/all_images/tuku/200911/200911131424148600_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1999.html
桑花叶病,http://www.114nz.com/all_images/tuku/200911/200911131357078996_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1993.html
桑树膏药病,http://www.114nz.com/all_images/tuku/200911/200911131309565778_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1985.html
桑里白粉病,http://www.114nz.com/all_images/tuku/200911/200911131311208131_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1986.html
桑白绢病,http://www.114nz.com/all_images/tuku/200911/200911131327132548_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1988.html
桑树白纹羽网病,http://www.114nz.com/all_images/tuku/200911/200911131324597070_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1987.html
桑污叶病,http://www.114nz.com/all_images/tuku/200911/200911131302025238_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1983.html
桑卷叶枯病,http://www.114nz.com/all_images/tuku/200911/200911131412314825_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1998.html
桑细菌性青枯病,http://www.114nz.com/all_images/tuku/200911/200911131349268760_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1991.html
桑紫纹羽病,http://www.114nz.com/all_images/tuku/200911/200911131346571562_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1990.html
桑黄化型萎缩病,http://www.114nz.com/all_images/tuku/200911/200911131359008421_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1994.html
桑赤锈病,http://www.114nz.com/all_images/tuku/200911/200911131400511748_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1995.html
桑灰霉病,http://www.114nz.com/all_images/tuku/200911/200911131352345795_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/xianweizuowu/sangshu/2011/1218/1992.html
