name,img,url
恶苗病,http://www.cgris.net/disease/01－水稻/images/0001%20水稻恶苗病田间发病情形.jpg,http://www.cgris.net/disease/01－水稻/0001-0003%20水稻恶苗病.htm
细菌性条斑病,http://www.cgris.net/disease/01－水稻/images/0057%20水稻细菌性条斑病发病初期病叶.jpg,http://www.cgris.net/disease/01－水稻/0057-0058%20水稻细菌性条斑病.htm
三化螟,http://www.cgris.net/disease/01－水稻/images/0465%20水稻三化螟幼虫为害水稻状.jpg,http://www.cgris.net/disease/01－水稻/0465-0469%20水稻三化螟.htm
黑尾叶蝉,http://www.cgris.net/disease/01－水稻/images/0514%20水稻黑尾叶蝉成虫栖息在稻叶上.jpg,http://www.cgris.net/disease/01－水稻/0514%20水稻黑尾叶蝉.htm
稻苗疫病,http://www.cgris.net/disease/01－水稻/images/0004%20水稻苗疫病（左）和水稻腐霉烂秧病.jpg,http://www.cgris.net/disease/01－水稻/0004(左)%20水稻稻苗疫病.htm
细菌性谷枯病,http://www.cgris.net/disease/01－水稻/images/0059%20水稻细菌性谷枯病田间症状.jpg,http://www.cgris.net/disease/01－水稻/0059-0060%20水稻细菌性谷枯病.htm
二化螟,http://www.cgris.net/disease/01－水稻/images/0470%20水稻二化螟成虫、卵、蛹和成长幼虫.jpg,http://www.cgris.net/disease/01－水稻/0470-0472%20水稻二化螟.htm
白翅叶蝉,http://www.cgris.net/disease/01－水稻/images/0515%20水稻电光叶蝉成虫（左）和白翅叶蝉.jpg,http://www.cgris.net/disease/01－水稻/0515(右)%20水稻白翅叶蝉.htm
烂秧病,http://www.cgris.net/disease/01－水稻/images/0004%20水稻苗疫病（左）和水稻腐霉烂秧病.jpg,http://www.cgris.net/disease/01－水稻/0004(左)-0006%20水稻烂秧病.htm
细菌性基腐病,http://www.cgris.net/disease/01－水稻/images/0061%20水稻细菌性基腐病田间发病情形.jpg,http://www.cgris.net/disease/01－水稻/0061%20水稻细菌性基腐病.htm
大螟,http://www.cgris.net/disease/01－水稻/images/0473%20水稻大螟成虫栖息在稻叶上.jpg,http://www.cgris.net/disease/01－水稻/0473-0475%20水稻大螟.htm
电光叶蝉,http://www.cgris.net/disease/01－水稻/images/0515%20水稻电光叶蝉成虫（左）和白翅叶蝉.jpg,http://www.cgris.net/disease/01－水稻/0515(左)%20水稻电光叶蝉.htm
霜霉病,http://www.cgris.net/disease/01－水稻/images/0007%20水稻白绢病（左）和霜霉病病叶.jpg,http://www.cgris.net/disease/01－水稻/0007(右)%20水稻霜霉病.htm
细菌性褐斑病,http://www.cgris.net/disease/01－水稻/images/0062%20水稻细菌性褐斑病病叶症状.jpg,http://www.cgris.net/disease/01－水稻/0062%20水稻细菌性褐斑病.htm
稻纵卷叶螟,http://www.cgris.net/disease/01－水稻/images/0476%20水稻-稻纵卷叶螟为害水稻状.jpg,http://www.cgris.net/disease/01－水稻/0476-0482%20水稻稻纵卷叶螟.htm
小绿叶蝉,http://www.cgris.net/disease/01－水稻/images/0516%20水稻小绿叶蝉若虫放大.jpg,http://www.cgris.net/disease/01－水稻/0516%20水稻小绿叶蝉.htm
白绢病,http://www.cgris.net/disease/01－水稻/images/0007%20水稻白绢病（左）和霜霉病病叶.jpg,http://www.cgris.net/disease/01－水稻/0007(左)%20水稻白绢病.htm
细菌性褐条病,http://www.cgris.net/disease/01－水稻/images/0063%20水稻细菌性褐条病成株叶片症状.jpg,http://www.cgris.net/disease/01－水稻/0063%20水稻细菌性褐条病.htm
显纹纵卷叶螟,http://www.cgris.net/disease/01－水稻/images/0483%20水稻显纹纵卷叶螟成虫.jpg,http://www.cgris.net/disease/01－水稻/0483-0484%20水稻显纹纵卷叶螟.htm
稻简管蓟马,http://www.cgris.net/disease/01－水稻/images/0517%20水稻-稻简管蓟马成虫腹面.jpg,http://www.cgris.net/disease/01－水稻/0517-0518(左)%20水稻稻简管蓟马.htm
稻瘟病,http://www.cgris.net/disease/01－水稻/images/0008%20水稻苗叶瘟病症状.jpg,http://www.cgris.net/disease/01－水稻/0008%200009-0016%200017-0021%20水稻稻瘟病.htm
黄叶病,http://www.cgris.net/disease/01－水稻/images/0064%20水稻黄叶病症状.jpg,http://www.cgris.net/disease/01－水稻/0064%20水稻黄叶病.htm
褐边螟,http://www.cgris.net/disease/01－水稻/images/0485%20水稻褐边螟雄蛾展翅.jpg,http://www.cgris.net/disease/01－水稻/0485%20水稻褐边螟.htm
稻直鬃蓟马,http://www.cgris.net/disease/01－水稻/images/0518%20水稻-稻简管蓟马（左）和稻直鬃蓟马成虫背面.jpg,http://www.cgris.net/disease/01－水稻/0518(右)-0519%20水稻稻直鬃蓟马.htm
胡麻斑病,http://www.cgris.net/disease/01－水稻/images/0022%20水稻胡麻斑病初期病叶.jpg,http://www.cgris.net/disease/01－水稻/0022-0024%20水稻胡麻斑病.htm
条纹叶枯病,http://www.cgris.net/disease/01－水稻/images/0065%20水稻条纹叶枯病中后期症状.jpg,http://www.cgris.net/disease/01－水稻/0065%20水稻条纹叶枯病.htm
台湾稻螟,http://www.cgris.net/disease/01－水稻/images/0486%20水稻-台湾稻螟幼虫.jpg,http://www.cgris.net/disease/01－水稻/0486%20水稻台湾稻螟.htm
花蓟马,http://www.cgris.net/disease/01－水稻/images/0520%20水稻花蓟马成虫腹面放大.jpg,http://www.cgris.net/disease/01－水稻/0520-0521(左)%20水稻花蓟马.htm
叶鞘腐败病,http://www.cgris.net/disease/01－水稻/images/0025%20水稻叶鞘腐败病初期症状%20.jpg,http://www.cgris.net/disease/01－水稻/0025-0028%20水稻叶鞘腐败病.htm
齿矮病,http://www.cgris.net/disease/01－水稻/images/0066%20水稻锯齿矮缩病叶尖症状.jpg,http://www.cgris.net/disease/01－水稻/0066%20水稻齿矮病.htm
稻筒水螟,http://www.cgris.net/disease/01－水稻/images/0489%20水稻-稻筒水螟雌成虫.jpg,http://www.cgris.net/disease/01－水稻/0489%20水稻稻筒水螟.htm
禾蓟马,http://www.cgris.net/disease/01－水稻/images/0521%20水稻花蓟马（左）和禾蓟马成虫.jpg,http://www.cgris.net/disease/01－水稻/0521(右)%20水稻禾蓟马.htm
紫鞘病,http://www.cgris.net/disease/01－水稻/images/0029%20水稻紫鞘病田间为害状%20.jpg,http://www.cgris.net/disease/01－水稻/0029%20水稻紫鞘病.htm
矮缩病,http://www.cgris.net/disease/01－水稻/images/0067%20水稻矮缩病分蘖期症状.jpg,http://www.cgris.net/disease/01－水稻/0067-0068%20水稻矮缩病.htm
稻水螟,http://www.cgris.net/disease/01－水稻/images/0490%20水稻-稻水螟虫苞和幼虫.jpg,http://www.cgris.net/disease/01－水稻/0490%20水稻稻水螟.htm
端大蓟马,http://www.cgris.net/disease/01－水稻/images/0522%20水稻端大蓟马成虫腹面.jpg,http://www.cgris.net/disease/01－水稻/0522%20水稻端大蓟马.htm
叶鞘网斑病,http://www.cgris.net/disease/01－水稻/images/0030%20水稻叶鞘网斑病症状.jpg,http://www.cgris.net/disease/01－水稻/0030%20水稻叶鞘网斑病.htm
东格鲁病毒病,http://www.cgris.net/disease/01－水稻/images/0069%20水稻东格鲁病毒病病株.jpg,http://www.cgris.net/disease/01－水稻/0069%20水稻东格鲁病毒病.htm
稻金翅夜蛾,http://www.cgris.net/disease/01－水稻/images/0491%20水稻-稻金翅夜蛾成虫.jpg,http://www.cgris.net/disease/01－水稻/0491%20水稻稻金翅夜蛾.htm
田蚜虫,http://www.cgris.net/disease/01－水稻/images/0523%20水稻-蚜虫栖息在水稻叶片上.jpg,http://www.cgris.net/disease/01－水稻/0523%20水稻田蚜虫.htm
叶黑肿病,http://www.cgris.net/disease/01－水稻/images/0031%20水稻叶黑肿病.jpg,http://www.cgris.net/disease/01－水稻/0031-0032%20水稻叶黑肿病.htm
黄萎病,http://www.cgris.net/disease/01－水稻/images/0070%20水稻黄萎病病株.jpg,http://www.cgris.net/disease/01－水稻/0070%20水稻黄萎病.htm
稻巢螟,http://www.cgris.net/disease/01－水稻/images/0492%20水稻-稻巢螟成虫和幼虫.jpg,http://www.cgris.net/disease/01－水稻/0492%20水稻稻巢螟.htm
稻田粘虫,http://www.cgris.net/disease/01－水稻/images/0524%20水稻-粘虫黑色型幼虫及为害水稻状.jpg,http://www.cgris.net/disease/01－水稻/0524%20水稻稻田粘虫.htm
菌核秆腐病,http://www.cgris.net/disease/01－水稻/images/0033%20水稻菌核秆腐病小黑菌核病.jpg,http://www.cgris.net/disease/01－水稻/0033-0037%20水稻菌核秆腐病.htm
