name,img,url
丝瓜褐腐病,http://www.114nz.com/all_images/tuku/201004/201004151357555614_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/3515.html
丝瓜果腐病,http://www.114nz.com/all_images/tuku/201003/201003301311287364_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2715.html
丝瓜蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003301528377634_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2768.html
丝瓜病毒病,http://www.114nz.com/all_images/tuku/200812/200812291023445424_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/191.html
丝瓜霜霉病,http://www.114nz.com/all_images/tuku/200812/200812291017382621_y.JPG,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/188.html
丝瓜褐斑病,http://www.114nz.com/all_images/tuku/201003/201003301537112478_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/190.html
丝瓜疫病,http://www.114nz.com/all_images/tuku/201003/201003301535533363_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/189.html
丝瓜细菌性角斑病,http://www.114nz.com/all_images/tuku/201003/201003301535418986_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2772.html
丝瓜白斑病,http://www.114nz.com/all_images/tuku/201003/201003301510492253_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2763.html
丝瓜绵腐病,http://www.114nz.com/all_images/tuku/201003/201003301529559394_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2769.html
丝瓜黑星病,http://www.114nz.com/all_images/tuku/201004/201004151358433353_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/3516.html
丝瓜轮纹斑病,http://www.114nz.com/all_images/tuku/201003/201003301527172040_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2767.html
丝瓜瓜链格孢黑斑病,http://www.114nz.com/all_images/tuku/201004/201004151357023344_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/3514.html
丝瓜菌核病,http://www.114nz.com/all_images/tuku/201004/201004151400444666_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/3518.html
丝瓜花叶病毒病,http://www.114nz.com/all_images/tuku/201004/201004151359255972_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/3517.html
丝瓜白粉病,http://www.114nz.com/all_images/tuku/201003/201003301512573691_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2764.html
丝瓜炭疽病,http://www.114nz.com/all_images/tuku/201003/201003301534136474_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2771.html
丝瓜根结线虫病,http://www.114nz.com/all_images/tuku/201003/201003301516022588_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2765.html
丝瓜枯萎病,http://www.114nz.com/all_images/tuku/201003/201003301525268902_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/sigua/2011/1218/2766.html
