name,img,url
桃树根癌病,http://www.114nz.com/all_images/tuku/201004/201004131521575740_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/3381.html
桃树侵染性流胶病,http://www.114nz.com/all_images/tuku/200901/200901051445568826_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/408.html
桃树红叶病,http://www.114nz.com/all_images/tuku/201004/201004131454065045_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/3365.html
桃果腐病,http://www.114nz.com/all_images/tuku/201003/201003301320139617_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/2721.html
桃霉斑穿孔病,http://www.114nz.com/all_images/tuku/201004/201004131448569459_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/3363.html
桃缩叶病,http://www.114nz.com/all_images/tuku/201003/201003301354489306_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/2737.html
桃树干枯病,http://www.114nz.com/all_images/tuku/200901/200901051358459643_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/400.html
桃树煤污病,http://www.114nz.com/all_images/tuku/201004/201004131453134223_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/3364.html
桃树白粉病,http://www.114nz.com/all_images/tuku/200901/200901051335417336_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/390.html
桃木腐病,http://www.114nz.com/all_images/tuku/201003/201003301349403909_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/2734.html
桃树流胶病,http://www.114nz.com/all_images/tuku/201004/201004131516069434_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/3378.html
桃树冻害根腐病,http://www.114nz.com/all_images/tuku/200901/200901051451165890_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/410.html
桃树非侵染性流胶病,http://www.114nz.com/all_images/tuku/200901/200901051449368641_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/409.html
桃树霉斑穿孔病,http://www.114nz.com/all_images/tuku/200901/200901051327091727_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/389.html
桃痘病,http://www.114nz.com/all_images/tuku/200901/200901051419342196_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/405.html
桃流胶病,http://www.114nz.com/all_images/tuku/201003/201003301340128865_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/2730.html
桃根霉软腐病,http://www.114nz.com/all_images/tuku/200901/200901051357355470_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/399.html
桃细菌性穿孔病,http://www.114nz.com/all_images/tuku/201003/201003291547447968_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/404.html
桃溃疡病,http://www.114nz.com/all_images/tuku/200901/200901051344491240_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/394.html
桃黑星病,http://www.114nz.com/all_images/tuku/201003/201003251522317611_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/391.html
桃煤污病,http://www.114nz.com/all_images/tuku/201003/201003291543483878_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/407.html
桃畸果病,http://www.114nz.com/all_images/tuku/200901/200901051421319087_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/406.html
桃树褐斑穿孔病,http://www.114nz.com/all_images/tuku/200901/200901051306406594_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/388.html
桃树缩叶病,http://www.114nz.com/all_images/tuku/200901/200901051355196053_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/398.html
桃炭疽病,http://www.114nz.com/all_images/tuku/201003/201003291545333766_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/395.html
桃树腐烂病,http://www.114nz.com/all_images/tuku/200901/200901051400125346_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/401.html
桃腐败病,http://www.114nz.com/all_images/tuku/200901/200901051343406444_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/393.html
桃树紫纹羽病,http://www.114nz.com/all_images/tuku/200901/200901051413147627_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/403.html
桃褐锈病,http://www.114nz.com/all_images/tuku/200901/200901051348478678_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/396.html
桃树叶斑病,http://www.114nz.com/all_images/tuku/200901/200901051352352721_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/397.html
桃树木腐病,http://www.114nz.com/all_images/tuku/200901/200901051405136939_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/402.html
桃褐腐病,http://www.114nz.com/all_images/tuku/201003/201003291541357335_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/tao/2011/1218/392.html
