name,img,url
甜菜褐斑病,http://www.114nz.com/all_images/tuku/200910/200910291348582956_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1810.html
甜菜苗腐病,http://www.114nz.com/all_images/tuku/200910/200910291401398318_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1811.html
甜菜黄化病毒病,http://www.114nz.com/all_images/tuku/200910/200910291311315246_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1805.html
甜菜立枯病,http://www.114nz.com/all_images/tuku/200910/200910291408557068_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1812.html
甜菜丛根病,http://www.114nz.com/all_images/tuku/200910/200910291307335036_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1804.html
甜菜细菌性斑枯病,http://www.114nz.com/all_images/tuku/200910/200910291329132660_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1806.html
甜菜霜霉病,http://www.114nz.com/all_images/tuku/200910/200910291258373630_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1802.html
甜菜白粉病,http://www.114nz.com/all_images/tuku/200910/200910291340313254_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1808.html
甜菜根腐病,http://www.114nz.com/all_images/tuku/200910/200910291331582072_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1807.html
甜菜叶斑病,http://www.114nz.com/all_images/tuku/200910/200910291300251662_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1803.html
甜菜缺素症,http://www.114nz.com/all_images/tuku/200910/200910291346165179_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/tangliaozuowu/tiancai/2011/1218/1809.html
