name,img,url
马铃薯枯萎病,http://www.114nz.com/all_images/tuku/201004/201004021406094527_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1756.html
马铃薯小叶病,http://www.114nz.com/all_images/tuku/200910/200910261532558655_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1754.html
马铃薯青枯病,http://www.114nz.com/all_images/tuku/200910/200910261504453155_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1746.html
马铃薯粉痴病,http://www.114nz.com/all_images/tuku/200910/200910261556012468_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1759.html
马铃薯尾孢菌叶斑病,http://www.114nz.com/all_images/tuku/200910/200910261506193745_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1747.html
马铃薯晚疫病,http://www.114nz.com/all_images/tuku/201004/201004021410079151_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1750.html
马铃薯白绢病,http://www.114nz.com/all_images/tuku/201004/201004021403189781_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1755.html
马铃薯黑胫病,http://www.114nz.com/all_images/tuku/201004/201004021405219165_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1752.html
马铃薯病毒病,http://www.114nz.com/all_images/tuku/201004/201004021404219872_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1751.html
马铃薯环腐病,http://www.114nz.com/all_images/tuku/200910/200910261516413194_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1749.html
马铃薯早死病,http://www.114nz.com/all_images/tuku/200910/200910261528218942_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1753.html
马铃薯干腐病,http://www.114nz.com/all_images/tuku/200910/200910261603209719_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1760.html
马铃薯疮痂病,http://www.114nz.com/all_images/tuku/201004/201004021404506417_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1758.html
马铃薯缺素症,http://www.114nz.com/all_images/tuku/200910/200910261548225115_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1757.html
马铃薯癌肿病,http://www.114nz.com/all_images/tuku/200910/200910261608412217_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1762.html
马铃薯软腐病,http://www.114nz.com/all_images/tuku/201004/201004021406516034_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1748.html
菟丝子为害马铃薯,http://www.114nz.com/all_images/tuku/200910/200910261605309623_y.jpg,http://pic.114nz.com/image/liangshizuowubinghai/shuleizuowu/malingshu/2011/1218/1761.html
