库编号,统一编号,保存单位,品种名称,译名,科名,属名,学名,系谱,育成年限,原产地,高程,东经,北纬,来源国,芒,壳色,粒色,冬春性,成熟期,穗粒数,穗长,株高,千粒重,粗蛋白,赖氨酸,沉淀值,硬度,容重,抗旱性,耐涝性,芽期耐盐,苗期耐盐,田间抗寒性,人工抗寒性,条锈严重度,条锈反应型,条锈普遍率,叶锈严重度,叶锈反应型,叶锈普遍率,秆锈严重度,秆锈反应型,秆锈普遍率,白粉严重度,白粉反应型,黄矮病,赤霉病病穗,赤霉病病指,赤霉病指数,赤霉病抗性,根腐叶病级,根腐穗病级,其它,省,样品类型
I1B06439,MY000001,陕023,无,(A)阿彭13,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,白,红,弱冬,中,无,无,85,无,11.63,0.37,26.8,31.8,无,3,无,无,无,无,无,10,MS,100,40,MS,100,100,S,100,6,4,2,100,90.8,5,S,MR,R,无,国外,国外
I1B04580,MY000002,京11595,无,短白穗,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,红,红,春,晚,无,无,70,无,无,无,无,无,无,2,无,无,无,无,无,40,MS,100,5,MS,100,5,MS,30,5,3,6,100,100,5,S,S,R,无,国外,国外
I1B07756,MY000003,京10008,无,奥室3号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,强冬,极早,无,无,100,无,15.13,0.4,无,16.2,无,4,无,无,无,无,无,100,S,100,5,MS,100,80,S,100,7,4,7,100,62.5,4.6,S,S,R,无,国外,国外
I1B07757,MY000004,京10096,オクコムギ,奥小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,92,无,16.32,0.43,无,27.5,无,3,无,无,无,无,无,25,S,80,5,S,100,80,S,100,6,4,4,100,79.2,4.7,S,MR,R,无,国外,国外
I1B07758,MY000005,京10019,无,(B)白荚茨城2号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,白,白,冬,早,无,无,100,无,16.95,0.42,无,14.7,无,3,无,无,无,无,无,80,S,100,5,S,100,80,S,100,7,4,7,100,76.7,4.7,S,S,R,无,国外,国外
I1B04808,MY000006,京10020,シラサギコムギ,白鹭小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,春,早,无,无,84,无,13.51,0.39,无,无,无,无,无,无,无,无,无,2,R,2,40,S,100,无,0,无,5,3,4,100,98.3,5,S,S,R,无,国外,国外
I1B10428,MY000007,黑74-0109,无,白岩1号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,春,无,无,无,88,无,16.4,0.43,32.2,24.8,无,4,无,无,无,无,无,25,S,100,无,0,无,40,MS,100,4,3,5,100,98.3,4.9,S,MR,MR,无,国外,国外
I1B07759,MY000008,京11599,无,变异系统7号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,顶,红,红,冬,中,无,无,100,无,15.03,0.41,无,25.1,无,3,无,无,无,无,无,80,S,100,5,S,100,65,S,100,5,3,5,100,79.2,4.7,S,S,R,无,国外,国外
I1B07760,MY000009,京11600,无,变异系统55,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,顶,白,红,冬,中,无,无,70,无,无,无,无,无,无,无,无,无,无,无,无,10,R,10,65,S,100,100,S,100,3,2,7,100,75,4.7,S,S,R,无,国外,国外
I1B00186,MY000010,京11601,无,变异系统173,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,朝鲜,无,无,无,无,长,白,红,冬,极早,无,无,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
