name,img,url
香蕉煤纹大斑病,http://www.114nz.com/all_images/tuku/200901/200901081647539222_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/725.html
香蕉黄条叶斑病,http://www.114nz.com/all_images/tuku/200901/200901081644186759_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/722.html
香蕉束顶病,http://www.114nz.com/all_images/tuku/201003/201003301400031858_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/2739.html
香蕉黑条叶斑病,http://www.114nz.com/all_images/tuku/200901/200901081645332122_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/723.html
香蕉黑疫病,http://www.114nz.com/all_images/tuku/200901/200901081649068462_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/726.html
香蕉炭疽病,http://www.114nz.com/all_images/tuku/201003/201003301402149269_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/2740.html
香蕉细菌性枯萎病,http://www.114nz.com/all_images/tuku/200901/200901081654233190_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/729.html
香蕉细菌凋萎病,http://www.114nz.com/all_images/tuku/200901/200901081655493472_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/730.html
香蕉灰纹病,http://www.114nz.com/all_images/tuku/200901/200901081646498800_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/724.html
香蕉黄叶病,http://www.114nz.com/all_images/tuku/200901/200901081653055650_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/728.html
香蕉黑星病,http://www.114nz.com/all_images/tuku/201003/201003291553142573_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/727.html
香蕉花叶心腐病,http://www.114nz.com/all_images/tuku/200901/200901081656524892_y.jpg,http://pic.114nz.com/image/guoshubinghai/jiangguolei/xiangjiao/2011/1218/731.html
