name,img,url
向日葵白粉病,http://www.114nz.com/all_images/tuku/200911/200911201548514121_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2074.html
向日葵列当,http://www.114nz.com/all_images/tuku/200911/200911201520032225_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2066.html
向日葵黄萎病,http://www.114nz.com/all_images/tuku/200911/200911201518127795_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2065.html
向日葵细菌性茎腐病,http://www.114nz.com/all_images/tuku/200911/200911201530086007_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2068.html
向日葵褐斑病,http://www.114nz.com/all_images/tuku/200911/200911201514438256_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2063.html
向日葵灰霉病,http://www.114nz.com/all_images/tuku/200911/200911201456383613_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2061.html
向日葵黑斑病,http://www.114nz.com/all_images/tuku/200911/200911201523107896_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2067.html
向日葵细菌性叶斑病,http://www.114nz.com/all_images/tuku/200911/200911201516329830_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2064.html
向日葵锈病,http://www.114nz.com/all_images/tuku/200911/200911201540289773_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2070.html
向日葵花叶病毒病,http://www.114nz.com/all_images/tuku/200911/200911201538116227_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2069.html
向日葵菌核病,http://www.114nz.com/all_images/tuku/200911/200911201450509098_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2060.html
向日葵缺素症,http://www.114nz.com/all_images/tuku/200911/200911201512392721_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/xiangrikui/2011/1218/2062.html
