name,img,url
西瓜煤污病,http://www.114nz.com/all_images/tuku/201004/201004151440025281_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3532.html
西瓜裂果,http://www.114nz.com/all_images/tuku/201004/201004151450141598_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3540.html
西瓜角斑病,http://www.114nz.com/all_images/tuku/201004/201004151439066423_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3531.html
西瓜畸形果,http://www.114nz.com/all_images/tuku/201003/201003251438317434_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2532.html
西瓜软腐病,http://www.114nz.com/all_images/tuku/201004/201004151443372677_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3536.html
西瓜细菌性角斑病,http://www.114nz.com/all_images/tuku/201003/201003251524138693_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/775.html
西瓜焦腐病,http://www.114nz.com/all_images/tuku/201004/201004151437379822_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3530.html
西瓜花叶病毒病,http://www.114nz.com/all_images/tuku/200901/200901091322547251_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/776.html
西瓜病毒病,http://www.114nz.com/all_images/tuku/201003/201003251415059830_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2523.html
西瓜褐色腐败病,http://www.114nz.com/all_images/tuku/201003/201003251424005398_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2526.html
西瓜果实腐斑病,http://www.114nz.com/all_images/tuku/201003/201003251422109783_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2525.html
西瓜炭疽病,http://www.114nz.com/all_images/tuku/201003/201003251442346314_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/771.html
西瓜绵腐病,http://www.114nz.com/all_images/tuku/201003/201003251524027008_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/774.html
西瓜偏头扭曲瓜,http://www.114nz.com/all_images/tuku/201004/201004151440491143_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3533.html
西瓜白绢病,http://www.114nz.com/all_images/tuku/201003/201003251523397818_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/772.html
西瓜脐腐病,http://www.114nz.com/all_images/tuku/201003/201003251442172589_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2534.html
西瓜蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003251440076297_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/770.html
西瓜枯萎病,http://www.114nz.com/all_images/tuku/201003/201003251523513833_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/769.html
西瓜斑点病,http://www.114nz.com/all_images/tuku/201003/201003251413142813_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2522.html
西瓜大肚子瓜,http://www.114nz.com/all_images/tuku/201004/201004151434178710_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3527.html
西瓜黑斑病,http://www.114nz.com/all_images/tuku/201003/201003251433474103_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2529.html
西瓜疫病,http://www.114nz.com/all_images/tuku/200901/200901091317572759_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/773.html
西瓜花腐病,http://www.114nz.com/all_images/tuku/201004/201004151435226749_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3528.html
西瓜粘菌病,http://www.114nz.com/all_images/tuku/201003/201003251447018278_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2537.html
西瓜裂果症,http://www.114nz.com/all_images/tuku/201003/201003251439564522_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2533.html
西瓜叶枯病,http://www.114nz.com/all_images/tuku/201003/201003251445298190_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2536.html
西瓜脐腐病,http://www.114nz.com/all_images/tuku/201004/201004151441315644_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3534.html
西瓜尖嘴瓜,http://www.114nz.com/all_images/tuku/201004/201004151437022552_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3529.html
西瓜日灼病,http://www.114nz.com/all_images/tuku/201004/201004151443021303_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/3535.html
埃及列当为害西瓜,http://www.114nz.com/all_images/tuku/200901/200901091324136919_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/777.html
西瓜细菌性果斑病,http://www.114nz.com/all_images/tuku/201003/201003251444051634_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/guaguolei/xigua/2011/1218/2535.html
