name,img,url
西葫芦白斑病,http://www.114nz.com/all_images/tuku/201003/201003311346327765_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2787.html
西葫芦根霉腐烂病,http://www.114nz.com/all_images/tuku/201003/201003311349324993_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2788.html
西葫芦蔓枯病,http://www.114nz.com/all_images/tuku/201003/201003311407429154_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2791.html
西葫芦曲霉病,http://www.114nz.com/all_images/tuku/201003/201003311409232795_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2792.html
葫芦链格孢黑斑病,http://www.114nz.com/all_images/tuku/201004/201004151342201222_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/3501.html
西葫芦匍枝根霉腐烂病,http://www.114nz.com/all_images/tuku/201004/201004151450563406_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/3541.html
金皮西葫芦蔓枯病,http://www.114nz.com/all_images/tuku/201004/201004151348156080_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/3506.html
西葫芦细菌性叶枯病,http://www.114nz.com/all_images/tuku/201003/201003251528428961_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2546.html
西葫芦病毒病,http://www.114nz.com/all_images/tuku/201003/201003251526013177_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2545.html
西葫芦裂果,http://www.114nz.com/all_images/tuku/201004/201004151447434436_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/3539.html
西葫芦病毒病,http://www.114nz.com/all_images/tuku/201004/201004151446055897_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/3537.html
西葫芦软腐病,http://www.114nz.com/all_images/tuku/201003/201003311413034507_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2794.html
西葫芦日灼病,http://www.114nz.com/all_images/tuku/201003/201003311410345519_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2793.html
西葫芦褐腐病,http://www.114nz.com/all_images/tuku/201003/201003311555103585_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2789.html
西葫芦笄霉褐腐病,http://www.114nz.com/all_images/tuku/201004/201004151446494841_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/3538.html
西葫芦菌核病,http://www.114nz.com/all_images/tuku/201003/201003311414482772_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/204.html
西葫芦三孢笄霉褐腐病,http://www.114nz.com/all_images/tuku/201004/201004151451344279_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/3542.html
西葫芦细菌性叶斑病,http://www.114nz.com/all_images/tuku/201003/201003311426304882_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2795.html
西葫芦枯萎病,http://www.114nz.com/all_images/tuku/201003/201003311404064432_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/2790.html
西葫芦绵腐病,http://www.114nz.com/all_images/tuku/201003/201003251526128363_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/203.html
西葫芦花叶病,http://www.114nz.com/all_images/tuku/200812/200812291058047248_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/206.html
西葫芦白粉病,http://www.114nz.com/all_images/tuku/200812/200812291046425517_y.JPG,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/201.html
西葫芦黑星病,http://www.114nz.com/all_images/tuku/201003/201003311400005155_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/205.html
西葫芦灰霉病,http://www.114nz.com/all_images/tuku/201003/201003311400122957_y.jpg,http://pic.114nz.com/image/shucaibinghai/gualei/xihulugua/2011/1218/202.html
