name,img,url
杏芽瘿病,http://www.114nz.com/all_images/tuku/200901/200901061035382179_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/439.html
杏疔病,http://www.114nz.com/all_images/tuku/200901/200901061011522480_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/430.html
杏黑粒枝枯病,http://www.114nz.com/all_images/tuku/200901/200901061022357095_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/433.html
杏树小叶病,http://www.114nz.com/all_images/tuku/200901/200901061032421097_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/438.html
杏树细菌性穿孔病,http://www.114nz.com/all_images/tuku/200901/200901061030235383_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/437.html
杏焦边病,http://www.114nz.com/all_images/tuku/200901/200901061006381672_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/429.html
杏树干腐病,http://www.114nz.com/all_images/tuku/200901/200901061028172633_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/435.html
杏褐腐病,http://www.114nz.com/all_images/tuku/200901/200901061015155813_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/432.html
杏核果假尾孢褐斑穿孔病,http://www.114nz.com/all_images/tuku/200901/200901061014121534_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/431.html
杏树流胶病,http://www.114nz.com/all_images/tuku/200901/200901061037251316_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/440.html
杏炭疽病,http://www.114nz.com/all_images/tuku/200901/200901061023297495_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/434.html
杏树腐烂病,http://www.114nz.com/all_images/tuku/200901/200901061029063554_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/xing/2011/1218/436.html
