name,img,url
烟草猝倒病,http://www.114nz.com/all_images/tuku/200910/200910301412131822_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1831.html
烟草气候斑病,http://www.114nz.com/all_images/tuku/200910/200910301654127831_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1856.html
烟草炭疽病,http://www.114nz.com/all_images/tuku/200910/200910301529319371_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1843.html
烟草角斑病,http://www.114nz.com/all_images/tuku/201004/201004061427088385_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/3033.html
烟草立枯病,http://www.114nz.com/all_images/tuku/200910/200910301442153547_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1835.html
烟草青枯病,http://www.114nz.com/all_images/tuku/200910/200910301532567703_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1844.html
烟草白粉病,http://www.114nz.com/all_images/tuku/200910/200910301540343271_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1845.html
烟草马铃薯Y病毒病,http://www.114nz.com/all_images/tuku/200910/200910301410072098_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1830.html
烟草霜霉病,http://www.114nz.com/all_images/tuku/200910/200910301606329929_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1850.html
烟草灰霉病,http://www.114nz.com/all_images/tuku/201004/201004061421246194_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/3030.html
烟草斑点病,http://www.114nz.com/all_images/tuku/201004/201004061413334314_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/3025.html
烟草枯萎病,http://www.114nz.com/all_images/tuku/200910/200910301542306045_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1846.html
烟草缺素症,http://www.114nz.com/all_images/tuku/200910/200910301405106066_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1828.html
烟草煤污病,http://www.114nz.com/all_images/tuku/201004/201004061433048574_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/3035.html
烟草野火病,http://www.114nz.com/all_images/tuku/200910/200910301403107465_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1827.html
烟草蚀纹病毒病,http://www.114nz.com/all_images/tuku/200910/200910301416071093_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/1833.html
烟草气候斑点病,http://www.114nz.com/all_images/tuku/201004/201004061452216931_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/shihaozuowu/yanye/2011/1218/3044.html
