name,img,url
叶斑病 ,http://www.cgris.net/disease/02－麦类/images/0100%20小麦白秆病茎秆上症状.jpg,http://www.cgris.net/disease/02－麦类/0100%20燕麦叶斑病.htm
坚黑穗病 ,http://www.cgris.net/disease/02－麦类/images/0188%20燕麦散黑穗病（左）和坚黑穗病病穗.jpg,http://www.cgris.net/disease/02－麦类/0188(右)%20燕麦坚黑穗病.htm
散黑穗病 ,http://www.cgris.net/disease/02－麦类/images/0188%20燕麦散黑穗病（左）和坚黑穗病病穗.jpg,http://www.cgris.net/disease/02－麦类/0188(左)%20燕麦散黑穗病.htm
炭疽病 ,http://www.cgris.net/disease/02－麦类/images/0189%20燕麦锈病（左）和炭疽病病叶.jpg,http://www.cgris.net/disease/02－麦类/0189(右)%20燕麦炭疽病.htm
锈病 ,http://www.cgris.net/disease/02－麦类/images/0189%20燕麦锈病（左）和炭疽病病叶.jpg,http://www.cgris.net/disease/02－麦类/0189(左)%20燕麦锈病.htm
细菌性条斑病 ,http://www.cgris.net/disease/02－麦类/images/0191%20燕麦细菌性条斑病病叶.jpg,http://www.cgris.net/disease/02－麦类/0191%20燕麦细菌性条斑病.htm
红叶病 ,http://www.cgris.net/disease/02－麦类/images/0192%20燕麦红叶病病叶.jpg,http://www.cgris.net/disease/02－麦类/0192%20燕麦红叶病.htm
胞囊线虫病 ,http://www.cgris.net/disease/02－麦类/images/0144%20小麦禾谷胞囊线虫病病苗根部症状.jpg,http://www.cgris.net/disease/02－麦类/0144-0145%20燕麦胞囊线虫病.htm
麦秆蝇,http://www.cgris.net/disease/02－麦类/images/0543%20小麦-麦秆蝇成虫放大.jpg,http://www.cgris.net/disease/02－麦类/0543%20麦秆蝇.htm
玉米蚜,http://www.cgris.net/disease/02－麦类/images/0542%20小麦-玉米蚜放大.jpg,http://www.cgris.net/disease/02－麦类/0542%20玉米蚜.htm
麦水蝇,http://www.cgris.net/disease/02－麦类/images/0498%20水稻菲岛毛眼水蝇成虫（左）和蛹.jpg,http://www.cgris.net/disease/02－麦类/0498%20麦水蝇.htm
啤酒花灰霉病 ,http://www.cgris.net/disease/02－麦类/images/1048%20啤酒花灰霉病.jpg,http://www.cgris.net/disease/02－麦类/1048%20啤酒花灰霉病.htm
黑麦麦角病 ,http://www.cgris.net/disease/02－麦类/images/0182%20黑麦秆锈病冬孢子堆（左）和麦角病.jpg,http://www.cgris.net/disease/02－麦类/0182(右)%20黑麦麦角病.htm
黑麦秆锈病 ,http://www.cgris.net/disease/02－麦类/images/0182%20黑麦秆锈病冬孢子堆（左）和麦角病.jpg,http://www.cgris.net/disease/02－麦类/0182(左)%20黑麦秆锈病.htm
黑麦秆蝇,http://www.cgris.net/disease/02－麦类/images/0544%20小麦-黑麦秆蝇成虫和幼虫放大.jpg,http://www.cgris.net/disease/02－麦类/0544%20黑麦秆蝇.htm
麦黑斑潜叶蝇,http://www.cgris.net/disease/02－麦类/images/0545%20小麦-麦黑斑潜叶蝇幼虫及为害小麦状.jpg,http://www.cgris.net/disease/02－麦类/0545%20麦黑斑潜叶蝇.htm
麦蜘蛛,http://www.cgris.net/disease/02－麦类/images/0548%20小麦-麦圆蜘蛛.jpg,http://www.cgris.net/disease/02－麦类/0548-0549%20麦蜘蛛.htm
