name,img,url
樱桃叶斑驳病,http://www.114nz.com/all_images/tuku/201004/201004131447062024_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/3362.html
樱桃穿孔病,http://www.114nz.com/all_images/tuku/201003/201003301406387232_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/2742.html
樱桃穿孔性褐斑病,http://www.114nz.com/all_images/tuku/201004/201004131455247902_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/3366.html
樱桃褐斑穿孔病,http://www.114nz.com/all_images/tuku/201003/201003251522191267_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/384.html
樱桃疮痂病,http://www.114nz.com/all_images/tuku/200901/200901051101299237_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/382.html
樱桃病毒病,http://www.114nz.com/all_images/tuku/200901/200901051107246131_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/386.html
樱桃枝枯病,http://www.114nz.com/all_images/tuku/200901/200901051053409935_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/381.html
樱桃褐腐病,http://www.114nz.com/all_images/tuku/200901/200901051050004400_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/380.html
樱桃根癌病,http://www.114nz.com/all_images/tuku/200901/200901051105541997_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/385.html
樱桃黑色轮纹病,http://www.114nz.com/all_images/tuku/200901/200901051103049462_y.jpg,http://pic.114nz.com/image/guoshubinghai/heguolei/yingtao/2011/1218/383.html
