name,img,url
苗期根腐病,http://www.cgris.net/disease/10－油料/images/0929%20油菜苗期根腐病根部症状.jpg,http://www.cgris.net/disease/10－油料/0929%20油菜苗期根腐病.htm
缺素症,http://www.cgris.net/disease/10－油料/images/0952%20油菜缺镁.jpg,http://www.cgris.net/disease/10－油料/0952、0956%20油菜缺素症.htm
肥害,http://www.cgris.net/disease/10－油料/images/0947%20油菜-白菜型油菜肥害.jpg,http://www.cgris.net/disease/10－油料/0947%20油菜肥害.htm
萎缩不实症,http://www.cgris.net/disease/10－油料/images/0957%20油菜萎缩不实症.jpg,http://www.cgris.net/disease/10－油料/0957-0958%20油菜萎缩不实症.htm
瓜果腐霉猝倒病,http://www.cgris.net/disease/10－油料/images/0930%20油菜瓜果腐霉猝倒病.jpg,http://www.cgris.net/disease/10－油料/0930%20油菜(瓜果腐霉)猝倒病.htm
菌核病,http://www.cgris.net/disease/10－油料/images/0940%20油菜菌核病病叶.jpg,http://www.cgris.net/disease/10－油料/0940-0941%20油菜菌核病.htm
黑斑病,http://www.cgris.net/disease/10－油料/images/0939%20油菜黑斑病病荚和病茎.jpg,http://www.cgris.net/disease/10－油料/0939%20油菜黑斑病.htm
冻害,http://www.cgris.net/disease/10－油料/images/0959%20油菜冻害.jpg,http://www.cgris.net/disease/10－油料/0959%20油菜冻害.htm
立枯病,http://www.cgris.net/disease/10－油料/images/0931%20油菜立枯病病苗.jpg,http://www.cgris.net/disease/10－油料/0931%20油菜立枯病.htm
根肿病,http://www.cgris.net/disease/10－油料/images/0946%20油菜根肿病.jpg,http://www.cgris.net/disease/10－油料/0946%20油菜根肿病.htm
病毒病,http://www.cgris.net/disease/10－油料/images/0945%20油菜病毒病病株.jpg,http://www.cgris.net/disease/10－油料/0945%20油菜病毒病.htm
菟丝子为害,http://www.cgris.net/disease/10－油料/images/0960%20油菜-菟丝子为害油菜.jpg,http://www.cgris.net/disease/10－油料/0960%20油菜菟丝子为害油菜.htm
霜霉病,http://www.cgris.net/disease/10－油料/images/0932%20油菜霜霉病花梗呈龙头拐状.jpg,http://www.cgris.net/disease/10－油料/0932-0933%20油菜霜霉病.htm
