name,img,url
细茵性茎腐病,http://www.cgris.net/disease/03－玉米/images/images/0237%20玉米细菌性条斑病（左）和细菌性茎腐病.jpg,http://www.cgris.net/disease/03－玉米/0237(右)%20玉米细茵性茎腐病.htm
高温干旱,http://www.cgris.net/disease/03－玉米/images/images/0269%20玉米干旱.jpg,http://www.cgris.net/disease/03－玉米/0269%20玉米高温干旱.htm
玉米铁甲,http://www.cgris.net/disease/03－玉米/images/images/0616%20玉米铁甲成虫.jpg,http://www.cgris.net/disease/03－玉米/0616%20玉米铁甲.htm
圆斑病,http://www.cgris.net/disease/03－玉米/images/images/0224%20玉米圆斑病穗腐症状.jpg,http://www.cgris.net/disease/03－玉米/0224%20玉米圆斑病.htm
细菌性条纹病,http://www.cgris.net/disease/03－玉米/images/images/0237%20玉米细菌性条斑病（左）和细菌性茎腐病.jpg,http://www.cgris.net/disease/03－玉米/0237(左)%20玉米细菌性条纹病.htm
涝害,http://www.cgris.net/disease/03－玉米/images/images/0270%20玉米涝害.jpg,http://www.cgris.net/disease/03－玉米/0270%20玉米涝害.htm
"	欧洲玉米螟",http://www.cgris.net/disease/03－玉米/images/images/0567%20玉米-欧洲玉米螟雄成虫.jpg,http://www.cgris.net/disease/03－玉米/0567-0568%20欧洲玉米螟.htm
干腐病,http://www.cgris.net/disease/03－玉米/images/images/0225%20玉米干腐病果穗受害状.jpg,http://www.cgris.net/disease/03－玉米/0225%20玉米干腐病.htm
细菌萎蔫病,http://www.cgris.net/disease/03－玉米/images/images/0238%20玉米细菌萎蔫病病株.jpg,http://www.cgris.net/disease/03－玉米/0238-0239%20玉米细菌萎蔫病.htm
药害,http://www.cgris.net/disease/03－玉米/images/images/0271%20玉米敌敌畏药害.jpg,http://www.cgris.net/disease/03－玉米/0271%20玉米药害.htm
玉米田棉铃虫,http://www.cgris.net/disease/03－玉米/images/images/0583%20棉花-棉铃虫雌成虫（左）和雄成虫.jpg,http://www.cgris.net/disease/03－玉米/0583-0584%200585%20玉米田棉铃虫.htm
丝核菌穗腐病,http://www.cgris.net/disease/03－玉米/images/images/0226%20玉米丝核菌穗腐病及外苞叶上小菌核.jpg,http://www.cgris.net/disease/03－玉米/0226%20玉米丝核菌穗腐病.htm
条纹矮缩病,http://www.cgris.net/disease/03－玉米/images/images/0240%20玉米条纹矮缩病病株.jpg,http://www.cgris.net/disease/03－玉米/0240-0241%20玉米条纹矮缩病.htm
空气污染,http://www.cgris.net/disease/03－玉米/images/images/0272%20玉米臭氧毒害（左）和氯气毒害状.jpg,http://www.cgris.net/disease/03－玉米/0272-0274%20玉米空气污染.htm
玉米蛀茎夜娥,http://www.cgris.net/disease/03－玉米/images/images/0587%20玉米蛀茎夜蛾幼虫.jpg,http://www.cgris.net/disease/03－玉米/0587%20玉米蛀茎夜娥.htm
镰刀菌穗粒腐病,http://www.cgris.net/disease/03－玉米/images/images/0227%20玉米赤霉菌穗腐（左）和镰刀菌穗腐病.jpg,http://www.cgris.net/disease/03－玉米/0227(右)%20玉米镰刀菌穗粒腐病.htm
矮花叶病毒病,http://www.cgris.net/disease/03－玉米/images/images/0242%20玉米矮花叶病毒病病株.jpg,http://www.cgris.net/disease/03－玉米/0242%20玉米矮花叶病毒病.htm
红叶病,http://www.cgris.net/disease/03－玉米/images/images/0275%20玉米红叶病.jpg,http://www.cgris.net/disease/03－玉米/0275%20玉米红叶病.htm
玉米黄呆蓟马,http://www.cgris.net/disease/03－玉米/images/images/0594%20玉米黄呆蓟马.jpg,http://www.cgris.net/disease/03－玉米/0594%20玉米黄呆蓟马.htm
赤霉病,http://www.cgris.net/disease/03－玉米/images/images/0227%20玉米赤霉菌穗腐（左）和镰刀菌穗腐病.jpg,http://www.cgris.net/disease/03－玉米/0227(左)%20玉米赤霉病.htm
粗缩病,http://www.cgris.net/disease/03－玉米/images/images/0243%20玉米粗缩病病株.jpg,http://www.cgris.net/disease/03－玉米/0243%20玉米粗缩病.htm
秃尖,http://www.cgris.net/disease/03－玉米/images/images/0276%20玉米秃尖.jpg,http://www.cgris.net/disease/03－玉米/0276%20玉米秃尖.htm
