name,img,url
芝麻普通花叶病,http://www.114nz.com/all_images/tuku/201004/201004141458036927_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/3436.html
芝麻立枯病,http://www.114nz.com/all_images/tuku/200911/200911171620542521_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2039.html
芝麻青枯病,http://www.114nz.com/all_images/tuku/200911/200911191610205004_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2050.html
芝麻枯萎病,http://www.114nz.com/all_images/tuku/201003/201003311604059393_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2043.html
芝麻花叶病,http://www.114nz.com/all_images/tuku/200911/200911171642181685_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2041.html
芝麻疫病,http://www.114nz.com/all_images/tuku/201003/201003311605068215_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2053.html
芝麻叶斑病,http://www.114nz.com/all_images/tuku/201003/201003311604462347_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2052.html
芝麻叶枯病,http://www.114nz.com/all_images/tuku/200911/200911171650302134_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2042.html
芝麻细菌性角斑病,http://www.114nz.com/all_images/tuku/200911/200911191610466371_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2051.html
芝麻轮纹病,http://www.114nz.com/all_images/tuku/201003/201003311604254982_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2049.html
芝麻褐斑病,http://www.114nz.com/all_images/tuku/200911/200911191607437329_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2045.html
芝麻黑斑病,http://www.114nz.com/all_images/tuku/200911/200911191608173948_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2046.html
芝麻茎点枯病,http://www.114nz.com/all_images/tuku/201003/201003311603464330_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2048.html
芝麻红色根腐病,http://www.114nz.com/all_images/tuku/200911/200911171636119192_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2040.html
芝麻白粉病,http://www.114nz.com/all_images/tuku/200911/200911191607157454_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2044.html
芝麻黄花叶病,http://www.114nz.com/all_images/tuku/200911/200911191608402546_y.jpg,http://pic.114nz.com/image/jingjizuowubinghai/youliaozuowu/zhima/2011/1218/2047.html
